x,y,yaw
-1.9983431,-0.9249948,1.6816714
-2.0017391,-0.8893883,1.6507896
-2.0040586,-0.8536964,1.6205392
-2.0052955,-0.8179512,1.5901869
-2.0054455,-0.7821855,1.5597594
-2.0045061,-0.7464322,1.5292818
-2.0024771,-0.7107244,1.4987778
-1.9993596,-0.6750950,1.4682693
-1.9951569,-0.6395769,1.4377766
-1.9898736,-0.6042028,1.4073178
-1.9835160,-0.5690050,1.3758251
-1.9760163,-0.5340326,1.3439930
-1.9674324,-0.4993110,1.3133117
-1.9578026,-0.4648656,1.2831149
-1.9471390,-0.4307265,1.2530214
-1.9354549,-0.3969231,1.2230376
-1.9227643,-0.3634843,1.1931680
-1.9090825,-0.3304380,1.1634157
-1.8944252,-0.2978116,1.1323228
-1.8787157,-0.2656785,1.1012655
-1.8620617,-0.2340256,1.0717952
-1.8444874,-0.2028750,1.0425348
-1.8260111,-0.1722510,1.0133883
-1.8066518,-0.1421774,0.9843513
-1.7864290,-0.1126770,0.9554187
-1.7653622,-0.0837723,0.9259560
-1.7434364,-0.0555132,0.8957429
-1.7206624,-0.0279334,0.8662613
-1.6971100,-0.0010162,0.8377188
-1.6728004,0.0252185,0.8092489
-1.6477548,0.0507514,0.7808451
-1.6219949,0.0755635,0.7525008
-1.5955424,0.0996367,0.7242098
-1.5684197,0.1229531,0.6954768
-1.5406274,0.1454680,0.6659714
-1.5121765,0.1671444,0.6370169
-1.4831285,0.1880124,0.6089346
-1.4535067,0.2080569,0.5808844
-1.4233349,0.2272629,0.5528641
-1.3926372,0.2456166,0.5248726
-1.3614379,0.2631044,0.4969099
-1.3297618,0.2797137,0.4689770
-1.2976340,0.2954325,0.4410760
-1.2650799,0.3102497,0.4129394
-1.2321179,0.3241371,0.3847986
-1.1987814,0.3370998,0.3580697
-1.1651249,0.3492060,0.3330564
-1.1311825,0.3604852,0.3091449
-1.0969860,0.3709685,0.2863292
-1.0625646,0.3806876,0.2645963
-1.0279449,0.3896751,0.2439273
-0.9931511,0.3979635,0.2242992
-0.9582051,0.4055854,0.2056847
-0.9231267,0.4125731,0.1880544
-0.8879335,0.4189583,0.1713763
-0.8526414,0.4247722,0.1556174
-0.8172642,0.4300453,0.1407439
-0.7818146,0.4348070,0.1267219
-0.7463033,0.4390861,0.1135173
-0.7107401,0.4429100,0.1010968
-0.6751333,0.4463057,0.0894278
-0.6394904,0.4492988,0.0784786
-0.6038177,0.4519140,0.0682189
-0.5681207,0.4541751,0.0586192
-0.5324042,0.4561050,0.0496519
-0.4966723,0.4577256,0.0412904
-0.4609284,0.4590579,0.0335097
-0.4251754,0.4601223,0.0262865
-0.3894159,0.4609382,0.0195985
-0.3536518,0.4615243,0.0133122
-0.3178847,0.4618905,0.0074314
-0.2821162,0.4620559,0.0021733
-0.2463473,0.4620459,-0.0024988
-0.2105788,0.4618771,-0.0067192
-0.1748113,0.4615653,-0.0105021
-0.1390451,0.4611258,-0.0138602
-0.1032805,0.4605738,-0.0168053
-0.0675175,0.4599237,-0.0193475
-0.0317561,0.4591898,-0.0214959
0.0040038,0.4583860,-0.0232585
0.0397624,0.4575261,-0.0246421
0.0755199,0.4566234,-0.0256736
0.1112767,0.4556896,-0.0262867
0.1470331,0.4547431,-0.0264617
0.1827895,0.4537969,-0.0262715
0.2185463,0.4528639,-0.0257191
0.2543037,0.4519572,-0.0248051
0.2900621,0.4510896,-0.0235291
0.3258217,0.4502741,-0.0218896
0.3615828,0.4495238,-0.0198843
0.3973454,0.4488517,-0.0175096
0.4331096,0.4482712,-0.0145638
0.4688756,0.4478099,-0.0111805
0.5046429,0.4474714,-0.0075603
0.5404112,0.4472690,-0.0035577
0.5761800,0.4472169,0.0008446
0.6119487,0.4473295,0.0056215
0.6477163,0.4476190,0.0105982
0.6834820,0.4480876,0.0154641
0.7192452,0.4487253,0.0200021
0.7550053,0.4495184,0.0241574
0.7907620,0.4504533,0.0279238
0.8265151,0.4515158,0.0313831
0.8622645,0.4526980,0.0344348
0.8980105,0.4539787,0.0369462
0.9337535,0.4553404,0.0390057
0.9694939,0.4567683,0.0406449
1.0052323,0.4582473,0.0418556
1.0409691,0.4597617,0.0426291
1.0767051,0.4612959,0.0429560
1.1124410,0.4628338,0.0428267
1.1481774,0.4643587,0.0422305
1.1839151,0.4658539,0.0411563
1.2196547,0.4673021,0.0395925
