left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y,Lapdist
-0.5325309,-0.8815681,-2.5505793,-0.9678657,-1.5415551,-0.9247169,0.0000000
-0.5314195,-0.8660383,-2.5669683,-0.9230022,-1.5491939,-0.8945203,0.0311478
-0.5284627,-0.8508099,-2.5841498,-0.8784365,-1.5563063,-0.8646232,0.0618793
-0.5180450,-0.8472558,-2.6019125,-0.8340992,-1.5599788,-0.8406775,0.0861049
-0.5095424,-0.8601809,-2.6200493,-0.7899136,-1.5647958,-0.8250472,0.1024606
-0.5032035,-0.8743818,-2.6383550,-0.7457975,-1.5707793,-0.8100896,0.1185706
-0.4978466,-0.8889904,-2.6566223,-0.7016654,-1.5772345,-0.7953279,0.1346820
-0.4931168,-0.9038201,-2.6746382,-0.6574303,-1.5838775,-0.7806252,0.1508158
-0.4890731,-0.9188553,-2.6921798,-0.6130054,-1.5906264,-0.7659303,0.1669864
-0.4856141,-0.9340314,-2.7090102,-0.5683068,-1.5973121,-0.7511691,0.1831911
-0.4826431,-0.9493087,-2.7248744,-0.5232570,-1.6037587,-0.7362829,0.1994133
-0.4803113,-0.9647026,-2.7394961,-0.4777898,-1.6099037,-0.7212462,0.2156571
-0.4793284,-0.9802404,-2.7525755,-0.4318562,-1.6159520,-0.7060483,0.2320143
-0.4815612,-0.9954318,-2.7637902,-0.3854327,-1.6226757,-0.6904323,0.2490164
-0.4939636,-0.9864251,-2.7703503,-0.3381389,-1.6321570,-0.6622820,0.2787204
-0.5045939,-0.9859438,-2.7792512,-0.2912091,-1.6419226,-0.6385765,0.3043587
-0.5127339,-0.9727171,-2.7826632,-0.2435724,-1.6476985,-0.6081447,0.3353337
-0.5188885,-0.9584546,-2.7829718,-0.1958179,-1.6509301,-0.5771363,0.3665101
-0.5230532,-0.9434999,-2.7802553,-0.1481424,-1.6516543,-0.5458211,0.3978336
-0.5252865,-0.9281282,-2.7746155,-0.1007256,-1.6499510,-0.5144269,0.4292740
-0.5258331,-0.9125895,-2.7661589,-0.0537307,-1.6459960,-0.4831601,0.4607900
-0.5249789,-0.8970501,-2.7549937,-0.0073054,-1.6399863,-0.4521778,0.4923497
-0.5228504,-0.8816269,-2.7412261,0.0384152,-1.6320383,-0.4216058,0.5239379
-0.5196979,-0.8663842,-2.7249590,0.0833071,-1.6223284,-0.3915385,0.5555342
-0.5158343,-0.8513083,-2.7062904,0.1272545,-1.6110623,-0.3620269,0.5871231
-0.5113747,-0.8363956,-2.6853130,0.1701478,-1.5983438,-0.3331239,0.6187007
-0.5064097,-0.8216403,-2.6621141,0.2118814,-1.5842619,-0.3048795,0.6502610
-0.5009687,-0.8070525,-2.6367762,0.2523520,-1.5688725,-0.2773503,0.6817997
-0.4951442,-0.7926143,-2.6093776,0.2914567,-1.5522609,-0.2505788,0.7133061
-0.4889883,-0.7783152,-2.5799934,0.3290921,-1.5344908,-0.2246116,0.7447716
-0.4824848,-0.7641710,-2.5486971,0.3651526,-1.5155909,-0.1995092,0.7761934
-0.4756156,-0.7502007,-2.5155621,0.3995308,-1.4955888,-0.1753350,0.8075698
-0.4683633,-0.7364250,-2.4806825,0.4321382,-1.4745229,-0.1521434,0.8389007
-0.4607114,-0.7228666,-2.4442019,0.4629462,-1.4524567,-0.1299602,0.8701898
-0.4526451,-0.7095499,-2.4062910,0.4919783,-1.4294681,-0.1087858,0.9014441
-0.4441423,-0.6965073,-2.3671117,0.5192770,-1.4056270,-0.0886152,0.9326732
-0.4351966,-0.6837646,-2.3268126,0.5448962,-1.3810046,-0.0694342,0.9638849
-0.4258145,-0.6713401,-2.2855284,0.5688981,-1.3556715,-0.0512210,0.9950857
-0.4159907,-0.6592619,-2.2433796,0.5913494,-1.3296852,-0.0339563,1.0262844
-0.4057234,-0.6475584,-2.2004731,0.6123187,-1.3030982,-0.0176198,1.0574892
-0.3950139,-0.6362579,-2.1569031,0.6318748,-1.2759585,-0.0021916,1.0887078
-0.3838480,-0.6254083,-2.1127527,0.6500848,-1.2483003,0.0123382,1.1199502
-0.3722520,-0.6150205,-2.0680942,0.6670131,-1.2201731,0.0259963,1.1512181
-0.3602404,-0.6051172,-2.0229911,0.6827209,-1.1916157,0.0388018,1.1825152
-0.3478309,-0.5957181,-1.9774988,0.6972657,-1.1626649,0.0507738,1.2138438
-0.3350444,-0.5868391,-1.9316659,0.7107010,-1.1333552,0.0619309,1.2452052
-0.3219043,-0.5784927,-1.8855349,0.7230761,-1.1037196,0.0722917,1.2765996
-0.3084358,-0.5706872,-1.8391431,0.7344363,-1.0737894,0.0818745,1.3080265
-0.2946656,-0.5634268,-1.7925232,0.7448229,-1.0435944,0.0906980,1.3394844
-0.2806208,-0.5567117,-1.7457043,0.7542733,-1.0131625,0.0987808,1.3709713
