left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y,Lapdist
0.0151196,2.2208920,0.1470032,-1.7769332,0.0810614,0.2219794,0.0000000
0.1020014,2.2236400,0.2230378,-1.7745284,0.1625196,0.2245558,0.0814990
0.1887360,2.2261491,0.2990494,-1.7723295,0.2438927,0.2269098,0.1629061
0.2753237,2.2284229,0.3750395,-1.7703340,0.3251816,0.2290445,0.2442230
0.3617651,2.2304650,0.4510098,-1.7685393,0.4063875,0.2309629,0.3254515
0.4480607,2.2322790,0.5269619,-1.7669427,0.4875113,0.2326681,0.4065933
0.5342110,2.2338684,0.6028973,-1.7655418,0.5685542,0.2341633,0.4876500
0.6202166,2.2352368,0.6788177,-1.7643339,0.6495171,0.2354515,0.5686232
0.7060780,2.2363878,0.7547246,-1.7633164,0.7304013,0.2365357,0.6495146
0.7917957,2.2373248,0.8306195,-1.7624867,0.8112076,0.2374191,0.7303258
0.8773704,2.2380516,0.9065041,-1.7618423,0.8919373,0.2381046,0.8110583
0.9628026,2.2385716,0.9823799,-1.7613805,0.9725913,0.2385955,0.8917138
1.0480929,2.2388884,1.0582483,-1.7610987,1.0531706,0.2388948,0.9722937
1.1332419,2.2390055,1.1341109,-1.7609944,1.1336764,0.2390055,1.0527996
1.2182503,2.2389265,1.2099693,-1.7610649,1.2141098,0.2389308,1.1332330
1.3031185,2.2386550,1.2858248,-1.7613076,1.2944717,0.2386737,1.2135953
1.3878474,2.2381944,1.3616790,-1.7617200,1.3747632,0.2382372,1.2938880
1.4724375,2.2375484,1.4375334,-1.7622993,1.4549855,0.2376246,1.3741126
1.5568895,2.2367205,1.5133894,-1.7630430,1.5351394,0.2368388,1.4542704
1.6412040,2.2357142,1.5892484,-1.7639484,1.6152262,0.2358829,1.5343629
1.7253817,2.2345330,1.6651120,-1.7650129,1.6952469,0.2347600,1.6143914
1.8094234,2.2331804,1.7409815,-1.7662340,1.7752024,0.2334732,1.6943574
1.8933296,2.2316601,1.8168584,-1.7676089,1.8550940,0.2320256,1.7742620
1.9771012,2.2299754,1.8927440,-1.7691350,1.9349226,0.2304202,1.8541068
2.0607387,2.2281299,1.9686399,-1.7708097,2.0146893,0.2286601,1.9338929
2.1442431,2.2261271,2.0445473,-1.7726303,2.0943952,0.2267484,2.0136217
2.2276149,2.2239706,2.1204676,-1.7745941,2.1740412,0.2246882,2.0932944
2.3108549,2.2216637,2.1964023,-1.7766985,2.2536286,0.2224826,2.1729123
2.3939639,2.2192100,2.2723527,-1.7789409,2.3331583,0.2201346,2.2524767
2.4769426,2.2166130,2.3483202,-1.7813185,2.4126314,0.2176473,2.3319887
2.5597918,2.2138761,2.4243061,-1.7838287,2.4920489,0.2150237,2.4114496
2.6425122,2.2110029,2.5003118,-1.7864687,2.5714120,0.2122671,2.4908605
2.7251048,2.2079967,2.5763385,-1.7892359,2.6507216,0.2093804,2.5702226
2.8075701,2.2048610,2.6523876,-1.7921276,2.7299789,0.2063667,2.6495372
2.8899092,2.2015993,2.7284605,-1.7951411,2.8091848,0.2032291,2.7288052
2.9721226,2.1982151,2.8045584,-1.7982737,2.8883405,0.1999707,2.8080280
3.0542114,2.1947117,2.8806827,-1.8015225,2.9674471,0.1965946,2.8872065
3.1361762,2.1910925,2.9568346,-1.8048850,3.0465054,0.1931037,2.9663419
3.2180180,2.1873611,3.0330154,-1.8083584,3.1255167,0.1895013,3.0454353
3.2997375,2.1835207,3.1092265,-1.8119399,3.2044820,0.1857904,3.1244877
3.3813357,2.1795749,3.1854690,-1.8156267,3.2834023,0.1819741,3.2035002
3.4628133,2.1755270,3.2617442,-1.8194162,3.3622788,0.1780554,3.2824740
3.5441713,2.1713804,3.3380534,-1.8233055,3.4411123,0.1740375,3.3614099
3.6254104,2.1671385,3.4143979,-1.8272919,3.5199041,0.1699233,3.4403090
3.7065316,2.1628046,3.4907789,-1.8313725,3.5986552,0.1657160,3.5191724
3.7875357,2.1583821,3.5671976,-1.8355447,3.6773666,0.1614187,3.5980010
3.8684237,2.1538744,3.6436552,-1.8398055,3.7560395,0.1570345,3.6767959
3.9491964,2.1492848,3.7201531,-1.8441522,3.8346747,0.1525663,3.7555580
4.0298547,2.1446167,3.7966923,-1.8485820,3.9132735,0.1480174,3.8342883
4.1103995,2.1398733,3.8732742,-1.8530919,3.9918369,0.1433907,3.9129878
4.1908318,2.1350581,3.9498999,-1.8576793,4.0703658,0.1386894,3.9916574
4.2711524,2.1301742,4.0265707,-1.8623413,4.1488615,0.1339165,4.0702980
4.3513622,2.1252251,4.1032876,-1.8670749,4.2273249,0.1290751,4.1489107
4.4314623,2.1202139,4.1800520,-1.8718773,4.3057572,0.1241683,4.2274962
4.5114535,2.1151441,4.2568650,-1.8767458,4.3841593,0.1191992,4.3060556
4.5913368,2.1100188,4.3337277,-1.8816773,4.4625323,0.1141708,4.3845898
4.6711131,2.1048414,4.4106415,-1.8866689,4.5408773,0.1090862,4.4630996
4.7507833,2.0996150,4.4876073,-1.8917179,4.6191953,0.1039486,4.5415860
4.8303485,2.0943430,4.5646264,-1.8968212,4.6974875,0.0987609,4.6200498
4.9098096,2.0890285,4.6417000,-1.9019760,4.7757548,0.0935263,4.6984920
4.9891674,2.0836749,4.7188292,-1.9071793,4.8539983,0.0882478,4.7769134
5.0684231,2.0782852,4.7960151,-1.9124282,4.9322191,0.0829285,4.8553148
5.1475776,2.0728628,4.8732589,-1.9177198,5.0104182,0.0775715,4.9336972
5.2266318,2.0674108,4.9505617,-1.9230510,5.0885968,0.0721799,5.0120615
5.3055868,2.0619324,5.0279248,-1.9284189,5.1667558,0.0667568,5.0904084
5.3844435,2.0564308,5.1053491,-1.9338206,5.2448963,0.0613051,5.1687388
5.4632029,2.0509092,5.1828358,-1.9392530,5.3230193,0.0558281,5.2470536
5.5418660,2.0453707,5.2603861,-1.9447132,5.4011260,0.0503288,5.3253537
5.6204339,2.0398184,5.3380010,-1.9501981,5.4792174,0.0448102,5.4036399
5.6989075,2.0342556,5.4156817,-1.9557047,5.5572946,0.0392754,5.4819129
5.7772878,2.0286853,5.4934293,-1.9612301,5.6353585,0.0337276,5.5601738
5.8555758,2.0231106,5.5712448,-1.9667711,5.7134103,0.0281698,5.6384232
5.9337727,2.0175348,5.6491295,-1.9723247,5.7914511,0.0226050,5.7166621
6.0118793,2.0119607,5.7270843,-1.9778879,5.8694818,0.0170364,5.7948913
6.0898968,2.0063917,5.8051103,-1.9834575,5.9475036,0.0114671,5.8731115
6.1678261,2.0008307,5.8832088,-1.9890306,6.0255174,0.0059000,5.9513238
6.2456683,1.9952807,5.9613806,-1.9946040,6.1035244,0.0003384,6.0295288
6.3234245,1.9897450,6.0396269,-2.0001747,6.1815257,-0.0052148,6.1077275
6.4010956,1.9842265,6.1179488,-2.0057395,6.2595222,-0.0107565,6.1859206
6.4786827,1.9787282,6.1963474,-2.0112952,6.3375151,-0.0162835,6.2641091
6.5561870,1.9732532,6.2748237,-2.0168389,6.4155053,-0.0217929,6.3422937
6.6336094,1.9678045,6.3533787,-2.0223673,6.4934940,-0.0272814,6.4204753
6.7109510,1.9623851,6.4320135,-2.0278773,6.5714822,-0.0327461,6.4986547
6.7882129,1.9569980,6.5107292,-2.0333657,6.6494710,-0.0381839,6.5768329
6.8653961,1.9516462,6.5895268,-2.0388294,6.7274615,-0.0435916,6.6550105
6.9425018,1.9463327,6.6684073,-2.0442653,6.8054546,-0.0489663,6.7331886
7.0195310,1.9410605,6.7473718,-2.0496700,6.8834514,-0.0543047,6.8113680
7.0964848,1.9358324,6.8264214,-2.0550404,6.9614531,-0.0596040,6.8895494
7.1733643,1.9306515,6.9055569,-2.0603733,7.0394606,-0.0648609,6.9677339
7.2501706,1.9255207,6.9847795,-2.0656655,7.1174751,-0.0700724,7.0459222
7.3269048,1.9204430,7.0640902,-2.0709138,7.1954975,-0.0752354,7.1241153
7.4035680,1.9154211,7.1434900,-2.0761148,7.2735290,-0.0803468,7.2023140
7.4801614,1.9104582,7.2229798,-2.0812655,7.3515706,-0.0854037,7.2805193
7.5566859,1.9055569,7.3025607,-2.0863624,7.4296233,-0.0904028,7.3587319
7.6331429,1.9007204,7.3822337,-2.0914025,7.5076883,-0.0953410,7.4369529
7.7095333,1.8959513,7.4619997,-2.0963822,7.5857665,-0.1002155,7.5151832
7.7858584,1.8912526,7.5418598,-2.1012985,7.6638591,-0.1050229,7.5934236
7.8621192,1.8866272,7.6218149,-2.1061480,7.7419671,-0.1097604,7.6716751
7.9383169,1.8820779,7.7018660,-2.1109273,7.8200915,-0.1144247,7.7499386
8.0144528,1.8776076,7.7820141,-2.1156332,7.8982334,-0.1190128,7.8282151
8.0905278,1.8732190,7.8622601,-2.1202624,7.9763939,-0.1235217,7.9065056
8.1665432,1.8689150,7.9426049,-2.1248115,8.0545741,-0.1279482,7.9848109
8.2425003,1.8646985,8.0230495,-2.1292772,8.1327749,-0.1322893,8.0631322
8.3184000,1.8605721,8.1035949,-2.1336560,8.2109975,-0.1365419,8.1414703
8.3942437,1.8565388,8.1842420,-2.1379448,8.2892428,-0.1407030,8.2198262
8.4700325,1.8526013,8.2649917,-2.1421400,8.3675121,-0.1447693,8.2982010
8.5457676,1.8487624,8.3458449,-2.1462383,8.4458063,-0.1487380,8.3765957
8.6214503,1.8450248,8.4268025,-2.1502364,8.5241264,-0.1526058,8.4550113
8.6970817,1.8413914,8.5078655,-2.1541308,8.6024736,-0.1563697,8.5334488
8.7726631,1.8378648,8.5890348,-2.1579181,8.6808489,-0.1600266,8.6119094
8.8481956,1.8344478,8.6703111,-2.1615949,8.7592534,-0.1635736,8.6903941
8.9236806,1.8311431,8.7516955,-2.1651578,8.8376880,-0.1670073,8.7689039
8.9991192,1.8279536,8.8331888,-2.1686033,8.9161540,-0.1703249,8.8474399
9.0745128,1.8248818,8.9147918,-2.1719281,8.9946523,-0.1735232,8.9260033
9.1498625,1.8219305,8.9965054,-2.1751287,9.0731840,-0.1765991,9.0045952
9.2251696,1.8191024,9.0783305,-2.1782015,9.1517501,-0.1795496,9.0832167
9.3004355,1.8164001,9.1602680,-2.1811432,9.2303517,-0.1823716,9.1618690
9.3756614,1.8138265,9.2423185,-2.1839503,9.3089900,-0.1850619,9.2405533
9.4508486,1.8113841,9.3244830,-2.1866193,9.3876658,-0.1876176,9.3192706
9.5259984,1.8090757,9.4067623,-2.1891468,9.4663804,-0.1900355,9.3980223
9.6011122,1.8069038,9.4891571,-2.1915291,9.5451346,-0.1923127,9.4768095
9.6761911,1.8048712,9.5716684,-2.1937629,9.6239297,-0.1944458,9.5556334
9.7512366,1.8029805,9.6542968,-2.1958446,9.7027667,-0.1964321,9.6344954
9.8262500,1.8012344,9.7370431,-2.1977708,9.7816466,-0.1982682,9.7133967
9.9012327,1.7996354,9.8199082,-2.1995378,9.8605705,-0.1999512,9.7923385
9.9761860,1.7981863,9.9028927,-2.2011422,9.9395394,-0.2014780,9.8713222
10.0511113,1.7968896,9.9859974,-2.2025804,10.0185544,-0.2028454,9.9503490
10.1260100,1.7957479,10.0692231,-2.2038490,10.0976165,-0.2040505,10.0294203
10.2008834,1.7947639,10.1525704,-2.2049443,10.1767269,-0.2050902,10.1085376
10.2757330,1.7939403,10.2360402,-2.2058628,10.2558866,-0.2059613,10.1877020
10.3505602,1.7932795,10.3196330,-2.2066010,10.3350966,-0.2066608,10.2669151
10.4253664,1.7927842,10.4033496,-2.2071552,10.4143580,-0.2071855,10.3461782
10.5001530,1.7924569,10.4871907,-2.2075221,10.4936718,-0.2075326,10.4254929
10.5749215,1.7923004,10.5711569,-2.2076978,10.5730392,-0.2076987,10.5048604
10.6496733,1.7923171,10.6552490,-2.2076790,10.6524611,-0.2076810,10.5842823
10.7244100,1.7925096,10.7394674,-2.2074620,10.7319387,-0.2074762,10.6637602
10.7991329,1.7928806,10.8238130,-2.2070433,10.8114730,-0.2070814,10.7432954
10.8738437,1.7934325,10.9082862,-2.2064192,10.8910650,-0.2064934,10.8228896
10.9485437,1.7941680,10.9928878,-2.2055862,10.9707158,-0.2057091,10.9025442
11.0232346,1.7950896,11.0776183,-2.2045407,11.0504264,-0.2047255,10.9822610
11.0979178,1.7961999,11.1624783,-2.2032791,11.1301980,-0.2035396,11.0620414
11.1725949,1.7975014,11.2474683,-2.2017977,11.2100316,-0.2021481,11.1418871
11.2472674,1.7989968,11.3325891,-2.2000931,11.2899282,-0.2005482,11.2217997
11.3219369,1.8006885,11.4178410,-2.1981616,11.3698889,-0.1987365,11.3017810
11.3966051,1.8025792,11.5032246,-2.1959996,11.4499148,-0.1967102,11.3818325
11.4712734,1.8046713,11.5887405,-2.1936035,11.5300069,-0.1944661,11.4619560
11.5459435,1.8069675,11.6743891,-2.1909697,11.6101663,-0.1920011,11.5421533
11.6206170,1.8094703,11.7601710,-2.1880946,11.6903940,-0.1893121,11.6224260
11.6952956,1.8121822,11.8460866,-2.1849746,11.7706911,-0.1863962,11.7027761
11.7699809,1.8151058,11.9321365,-2.1816060,11.8510587,-0.1832501,11.7832052
11.8446745,1.8182437,12.0183210,-2.1779854,11.9314978,-0.1798709,11.8637152
11.9193781,1.8215983,12.1046407,-2.1741091,12.0120094,-0.1762554,11.9443080
11.9940935,1.8251724,12.1910959,-2.1699735,12.0925947,-0.1724006,12.0249854
12.0688222,1.8289683,12.2776870,-2.1655749,12.1732546,-0.1683033,12.1057494
12.1435661,1.8329887,12.3644146,-2.1609099,12.2539903,-0.1639606,12.1866018
12.2183268,1.8372362,12.4512789,-2.1559747,12.3348029,-0.1593693,12.2675446
12.2931061,1.8417133,12.5382804,-2.1507659,12.4156932,-0.1545263,12.3485799
12.3679058,1.8464225,12.6254193,-2.1452797,12.4966625,-0.1494286,12.4297095
12.4427275,1.8513665,12.7126962,-2.1395127,12.5777118,-0.1440731,12.5109355
12.5175731,1.8565478,12.8001112,-2.1334613,12.6588422,-0.1384567,12.5922600
12.5924444,1.8619690,12.8876648,-2.1271218,12.7400546,-0.1325764,12.6736851
12.6673431,1.8676326,12.9753572,-2.1204907,12.8213502,-0.1264290,12.7552127
12.7422712,1.8735413,13.0631888,-2.1135644,12.9027300,-0.1200115,12.8368452
12.8172304,1.8796977,13.1511598,-2.1063393,12.9841951,-0.1133208,12.9185846
12.8922225,1.8861043,13.2392705,-2.0988120,13.0657465,-0.1063538,13.0004330
12.9672495,1.8927637,13.3275211,-2.0909788,13.1473853,-0.0991075,13.0823928
13.0423131,1.8996786,13.4159120,-2.0828361,13.2291126,-0.0915788,13.1644661
13.1174154,1.9068516,13.5044433,-2.0743806,13.3109294,-0.0837645,13.2466552
13.1925581,1.9142852,13.5931154,-2.0656085,13.3928367,-0.0756616,13.3289624
13.2677431,1.9219822,13.6819282,-2.0565164,13.4748357,-0.0672671,13.4113900
13.3429725,1.9299451,13.7708822,-2.0471007,13.5569274,-0.0585778,13.4939402
13.4182481,1.9381765,13.8599775,-2.0373580,13.6391128,-0.0495908,13.5766156
13.4935718,1.9466793,13.9492142,-2.0272848,13.7213930,-0.0403028,13.6594183
13.5689457,1.9554559,14.0385925,-2.0168774,13.8037691,-0.0307108,13.7423510
13.6443716,1.9645090,14.1281126,-2.0061326,13.8862421,-0.0208118,13.8254160
13.7198516,1.9738415,14.2177746,-1.9950466,13.9688131,-0.0106026,13.9086157
13.7952547,1.9834405,14.3077066,-1.9835979,14.0514807,-0.0000787,13.9919505
13.8704352,1.9932970,14.3980314,-1.9717556,14.1342333,0.0107707,14.0754113
13.9453780,2.0034196,14.4887360,-1.9595038,14.2170570,0.0219579,14.1589871
14.0200675,2.0138166,14.5798078,-1.9468261,14.2999377,0.0334952,14.2426669
14.0944883,2.0244961,14.6712343,-1.9337060,14.3828613,0.0453951,14.3264400
14.1686247,2.0354661,14.7630029,-1.9201267,14.4658138,0.0576697,14.4102958
14.2424608,2.0467342,14.8551015,-1.9060713,14.5487812,0.0703314,14.4942237
14.3159807,2.0583079,14.9475179,-1.8915226,14.6317493,0.0833927,14.5782137
14.3891684,2.0701945,15.0402400,-1.8764631,14.7147042,0.0968657,14.6622555
14.4620078,2.0824009,15.1332558,-1.8608752,14.7976318,0.1107628,14.7463395
14.5344826,2.0949338,15.2265535,-1.8447410,14.8805180,0.1250964,14.8304560
14.6065765,2.1077999,15.3201213,-1.8280423,14.9633489,0.1398788,14.9145956
14.6782731,2.1210052,15.4139474,-1.8107607,15.0461103,0.1551223,14.9987491
14.7495562,2.1345558,15.5080202,-1.7928775,15.1287882,0.1708392,15.0829076
14.8204092,2.1484574,15.6023279,-1.7743736,15.2113686,0.1870419,15.1670625
14.8908158,2.1627153,15.6968588,-1.7552299,15.2938373,0.2037427,15.2512053
14.9607595,2.1773346,15.7916014,-1.7354268,15.3761805,0.2209539,15.3353279
15.0302239,2.1923201,15.8865439,-1.7149444,15.4583839,0.2386878,15.4194225
15.0991925,2.2076763,15.9816747,-1.6937625,15.5404336,0.2569569,15.5034815
15.1676492,2.2234074,16.0769819,-1.6718607,15.6223155,0.2757734,15.5874976
15.2355775,2.2395173,16.1724537,-1.6492181,15.7040156,0.2951496,15.6714640
15.3029615,2.2560094,16.2680781,-1.6258136,15.7855198,0.3150979,15.7553739
15.3697851,2.2728869,16.3638431,-1.6016258,15.8668141,0.3356306,15.8392210
15.4360324,2.2901527,16.4597364,-1.5766328,15.9478844,0.3567600,15.9229996
15.5016878,2.3078094,16.5557457,-1.5508124,16.0287167,0.3784985,16.0067040
15.5667356,2.3258589,16.6518582,-1.5241422,16.1092969,0.4008584,16.0903289
15.6311608,2.3443033,16.7480612,-1.4965994,16.1896110,0.4238519,16.1738697
15.6949483,2.3631439,16.8443415,-1.4681607,16.2696449,0.4474916,16.2573218
15.7580834,2.3823819,16.9406858,-1.4388027,16.3493846,0.4717896,16.3406814
15.8205519,2.4020181,17.0370802,-1.4085014,16.4288160,0.4967584,16.4239447
15.8823396,2.4220529,17.1335107,-1.3772327,16.5079251,0.5224101,16.5071088
15.9434330,2.4424865,17.2299628,-1.3449719,16.5866979,0.5487573,16.5901709
16.0038191,2.4633186,17.3264214,-1.3116944,16.6651202,0.5758121,16.6731289
16.0634851,2.4845488,17.4228711,-1.2773749,16.7431781,0.6035870,16.7559811
16.1224190,2.5061763,17.5192960,-1.2419879,16.8208575,0.6320942,16.8387261
16.1806092,2.5282000,17.6156793,-1.2055078,16.8981443,0.6613461,16.9213634
16.2380449,2.5506186,17.7120041,-1.1679086,16.9750245,0.6913550,17.0038928
16.2947158,2.5734306,17.8082523,-1.1291641,17.0514840,0.7221332,17.0863147
16.3506124,2.5966342,17.9044054,-1.0892479,17.1275089,0.7536932,17.1686300
16.4057259,2.6202277,18.0004441,-1.0481335,17.2030850,0.7860471,17.2508402
16.4600483,2.6442089,18.0963483,-1.0057942,17.2781983,0.8192073,17.3329475
16.5135726,2.6685758,18.1920969,-0.9622033,17.3528348,0.8531863,17.4149546
16.5662926,2.6933262,18.2876681,-0.9173339,17.4269803,0.8879962,17.4968649
16.6182029,2.7184581,18.3830390,-0.8711594,17.5006209,0.9236494,17.5786824
16.6692994,2.7439695,18.4781858,-0.8236530,17.5737426,0.9601583,17.6604116
16.7195787,2.7698584,18.5730836,-0.7747882,17.6463311,0.9975351,17.7420580
16.7690388,2.7961233,18.6677065,-0.7245387,17.7183726,1.0357923,17.8236275
16.8176785,2.8227626,18.7620275,-0.6728785,17.7898530,1.0749420,17.9051269
16.8654979,2.8497754,18.8560185,-0.6197818,17.8607582,1.1149968,17.9865636
16.9124982,2.8771612,18.9496501,-0.5652235,17.9310741,1.1559689,18.0679456
16.9586818,2.9049198,19.0428918,-0.5091787,18.0007868,1.1978705,18.1492820
17.0040524,2.9330519,19.1357119,-0.4516236,18.0698821,1.2407142,18.2305823
17.0486146,2.9615586,19.2280776,-0.3925345,18.1383461,1.2845121,18.3118570
17.0923745,2.9904423,19.3199548,-0.3318891,18.2061646,1.3292766,18.3931171
17.1353392,3.0197058,19.4113082,-0.2696657,18.2733237,1.3750200,18.4743748
17.1775170,3.0493533,19.5021014,-0.2058437,18.3398092,1.4217548,18.5556426
17.2189175,3.0793898,19.5922969,-0.1404036,18.4056072,1.4694931,18.6369342
17.2595511,3.1098220,19.6818560,-0.0733272,18.4707035,1.5182474,18.7182638
17.2994294,3.1406573,19.7707390,-0.0045976,18.5350842,1.5680299,18.7996467
17.3385650,3.1719052,19.8589053,0.0658008,18.5987352,1.6188530,18.8810987
17.3769714,3.2035762,19.9463134,0.1378818,18.6616424,1.6707290,18.9626367
17.4146628,3.2356826,20.0329207,0.2116579,18.7237917,1.7236703,19.0442781
17.4516542,3.2682385,20.1186844,0.2871397,18.7851693,1.7776891,19.1260414
17.4879612,3.3012596,20.2035606,0.3643361,18.8457609,1.8327979,19.2079457
17.5235999,3.3347636,20.2875052,0.4432540,18.9055525,1.8890088,19.2900110
17.5585868,3.3687700,20.3704736,0.5238988,18.9645302,1.9463344,19.3722581
17.5929384,3.4033001,20.4524212,0.6062735,19.0226798,2.0047868,19.4547085
17.6267747,3.4384845,20.5331996,0.6902680,19.0799871,2.0643763,19.5373828
17.6604084,3.4746590,20.6124644,0.7755174,19.1364364,2.1250882,19.6202830
17.6938226,3.5118201,20.6901986,0.8619651,19.1920106,2.1868926,19.7033991
17.7269769,3.5499374,20.7664089,0.9495810,19.2466929,2.2497592,19.7867199
17.7598317,3.5889793,20.8411010,1.0383363,19.3004663,2.3136578,19.8702341
17.7923485,3.6289127,20.9142795,1.1282035,19.3533140,2.3785581,19.9539295
17.8244897,3.6697033,20.9859481,1.2191563,19.4052189,2.4444298,20.0377937
