x,y,yaw
0.0810614,0.2219794,0.0329769
0.1625196,0.2245558,0.0302637
0.2438927,0.2269098,0.0275818
0.3251816,0.2290445,0.0249315
0.4063875,0.2309629,0.0223130
0.4875113,0.2326681,0.0197266
0.5685542,0.2341633,0.0171724
0.6495171,0.2354515,0.0146508
0.7304013,0.2365357,0.0121619
0.8112076,0.2374191,0.0097061
0.8919373,0.2381046,0.0072835
0.9725913,0.2385955,0.0048943
1.0531706,0.2388948,0.0025389
1.1336764,0.2390055,0.0002173
1.2141098,0.2389308,-0.0020702
1.2944717,0.2386737,-0.0043234
1.3747632,0.2382372,-0.0065421
1.4549855,0.2376246,-0.0087261
1.5351394,0.2368388,-0.0108752
1.6152262,0.2358829,-0.0129893
1.6952469,0.2347600,-0.0150680
1.7752024,0.2334732,-0.0171113
1.8550940,0.2320256,-0.0191190
1.9349226,0.2304202,-0.0210909
2.0146893,0.2286601,-0.0230268
2.0943952,0.2267484,-0.0249265
2.1740412,0.2246882,-0.0267900
2.2536286,0.2224826,-0.0286170
2.3331583,0.2201346,-0.0304075
2.4126314,0.2176473,-0.0321611
2.4920489,0.2150237,-0.0338779
2.5714120,0.2122671,-0.0355576
2.6507216,0.2093804,-0.0372001
2.7299789,0.2063667,-0.0388054
2.8091848,0.2032291,-0.0403731
2.8883405,0.1999707,-0.0419033
2.9674471,0.1965946,-0.0433958
3.0465054,0.1931037,-0.0448504
3.1255167,0.1895013,-0.0462671
3.2044820,0.1857904,-0.0476458
3.2834023,0.1819741,-0.0489863
3.3622788,0.1780554,-0.0502885
3.4411123,0.1740375,-0.0515523
3.5199041,0.1699233,-0.0527776
3.5986552,0.1657160,-0.0539644
3.6773666,0.1614187,-0.0551124
3.7560395,0.1570345,-0.0562217
3.8346747,0.1525663,-0.0572922
3.9132735,0.1480174,-0.0583236
3.9918369,0.1433907,-0.0593161
4.0703658,0.1386894,-0.0602694
4.1488615,0.1339165,-0.0611836
4.2273249,0.1290751,-0.0620585
4.3057572,0.1241683,-0.0628940
4.3841593,0.1191992,-0.0636902
4.4625323,0.1141708,-0.0644469
4.5408773,0.1090862,-0.0651640
4.6191953,0.1039486,-0.0658416
4.6974875,0.0987609,-0.0664795
4.7757548,0.0935263,-0.0670777
4.8539983,0.0882478,-0.0676361
4.9322191,0.0829285,-0.0681548
5.0104182,0.0775715,-0.0686335
5.0885968,0.0721799,-0.0690724
5.1667558,0.0667568,-0.0694714
5.2448963,0.0613051,-0.0698303
5.3230193,0.0558281,-0.0701493
5.4011260,0.0503288,-0.0704282
5.4792174,0.0448102,-0.0706670
5.5572946,0.0392754,-0.0708657
5.6353585,0.0337276,-0.0710243
5.7134103,0.0281698,-0.0711427
5.7914511,0.0226050,-0.0712210
5.8694818,0.0170364,-0.0712591
5.9475036,0.0114671,-0.0712569
6.0255174,0.0059000,-0.0712145
6.1035244,0.0003384,-0.0711319
6.1815257,-0.0052148,-0.0710090
6.2595222,-0.0107565,-0.0708459
6.3375151,-0.0162835,-0.0706426
6.4155053,-0.0217929,-0.0703990
6.4934940,-0.0272814,-0.0701151
6.5714822,-0.0327461,-0.0697910
6.6494710,-0.0381839,-0.0694267
6.7274615,-0.0435916,-0.0690221
6.8054546,-0.0489663,-0.0685774
6.8834514,-0.0543047,-0.0680924
6.9614531,-0.0596040,-0.0675673
7.0394606,-0.0648609,-0.0670020
7.1174751,-0.0700724,-0.0663966
7.1954975,-0.0752354,-0.0657510
7.2735290,-0.0803468,-0.0650654
7.3515706,-0.0854037,-0.0643398
7.4296233,-0.0904028,-0.0635741
7.5076883,-0.0953410,-0.0627685
7.5857665,-0.1002155,-0.0619230
7.6638591,-0.1050229,-0.0610375
7.7419671,-0.1097604,-0.0601123
7.8200915,-0.1144247,-0.0591472
7.8982334,-0.1190128,-0.0581424
7.9763939,-0.1235217,-0.0570980
8.0545741,-0.1279482,-0.0560139
8.1327749,-0.1322893,-0.0548902
8.2109975,-0.1365419,-0.0537271
8.2892428,-0.1407030,-0.0525246
8.3675121,-0.1447693,-0.0512827
8.4458063,-0.1487380,-0.0500015
8.5241264,-0.1526058,-0.0486812
8.6024736,-0.1563697,-0.0473217
8.6808489,-0.1600266,-0.0459232
8.7592534,-0.1635736,-0.0444858
8.8376880,-0.1670073,-0.0430095
8.9161540,-0.1703249,-0.0414945
8.9946523,-0.1735232,-0.0399409
9.0731840,-0.1765991,-0.0383487
9.1517501,-0.1795496,-0.0367180
9.2303517,-0.1823716,-0.0350491
9.3089900,-0.1850619,-0.0333419
9.3876658,-0.1876176,-0.0315967
9.4663804,-0.1900355,-0.0298135
9.5451346,-0.1923127,-0.0279924
9.6239297,-0.1944458,-0.0261337
9.7027667,-0.1964321,-0.0242373
9.7816466,-0.1982682,-0.0223036
9.8605705,-0.1999512,-0.0203325
9.9395394,-0.2014780,-0.0183244
10.0185544,-0.2028454,-0.0162792
10.0976165,-0.2040505,-0.0141972
10.1767269,-0.2050902,-0.0120785
10.2558866,-0.2059613,-0.0099234
10.3350966,-0.2066608,-0.0077319
10.4143580,-0.2071855,-0.0055042
10.4936718,-0.2075326,-0.0032406
10.5730392,-0.2076987,-0.0009411
10.6524611,-0.2076810,0.0013939
10.7319387,-0.2074762,0.0037644
10.8114730,-0.2070814,0.0061701
10.8910650,-0.2064934,0.0086107
10.9707158,-0.2057091,0.0110863
11.0504264,-0.2047255,0.0135963
11.1301980,-0.2035396,0.0161408
11.2100316,-0.2021481,0.0187195
11.2899282,-0.2005482,0.0213320
11.3698889,-0.1987365,0.0239783
11.4499148,-0.1967102,0.0266580
11.5300069,-0.1944661,0.0293710
11.6101663,-0.1920011,0.0321169
11.6903940,-0.1893121,0.0348956
11.7706911,-0.1863962,0.0377067
11.8510587,-0.1832501,0.0405500
11.9314978,-0.1798709,0.0434253
12.0120094,-0.1762554,0.0463322
12.0925947,-0.1724006,0.0492705
12.1732546,-0.1683033,0.0522400
12.2539903,-0.1639606,0.0552402
12.3348029,-0.1593693,0.0582710
12.4156932,-0.1545263,0.0613320
12.4966625,-0.1494286,0.0644229
12.5777118,-0.1440731,0.0675435
12.6588422,-0.1384567,0.0706934
12.7400546,-0.1325764,0.0738723
12.8213502,-0.1264290,0.0770798
12.9027300,-0.1200115,0.0803157
12.9841951,-0.1133208,0.0835796
13.0657465,-0.1063538,0.0868712
13.1473853,-0.0991075,0.0901901
13.2291126,-0.0915788,0.0935361
13.3109294,-0.0837645,0.0969086
13.3928367,-0.0756616,0.1003074
13.4748357,-0.0672671,0.1037322
13.5569274,-0.0585778,0.1071825
13.6391128,-0.0495908,0.1106580
13.7213930,-0.0403028,0.1141584
13.8037691,-0.0307108,0.1176831
13.8862421,-0.0208118,0.1212320
13.9688131,-0.0106026,0.1248045
14.0514807,-0.0000787,0.1284660
14.1342333,0.0107707,0.1322845
14.2170570,0.0219579,0.1362608
14.2999377,0.0334952,0.1403959
14.3828613,0.0453951,0.1446908
14.4658138,0.0576697,0.1491469
14.5487812,0.0703314,0.1537654
14.6317493,0.0833927,0.1585477
14.7147042,0.0968657,0.1634953
14.7976318,0.1107628,0.1686098
14.8805180,0.1250964,0.1738928
14.9633489,0.1398788,0.1793461
15.0461103,0.1551223,0.1849716
15.1287882,0.1708392,0.1907710
15.2113686,0.1870419,0.1967465
15.2938373,0.2037427,0.2029001
15.3761805,0.2209539,0.2092338
15.4583839,0.2386878,0.2157499
15.5404336,0.2569569,0.2224506
15.6223155,0.2757734,0.2293383
15.7040156,0.2951496,0.2364152
15.7855198,0.3150979,0.2436837
15.8668141,0.3356306,0.2511463
15.9478844,0.3567600,0.2588055
16.0287167,0.3784985,0.2666636
16.1092969,0.4008584,0.2747233
16.1896110,0.4238519,0.2829870
16.2696449,0.4474916,0.2914572
16.3493846,0.4717896,0.3001365
16.4288160,0.4967584,0.3090272
16.5079251,0.5224101,0.3181319
16.5866979,0.5487573,0.3274530
16.6651202,0.5758121,0.3369928
16.7431781,0.6035870,0.3467537
16.8208575,0.6320942,0.3567378
16.8981443,0.6613461,0.3669472
16.9750245,0.6913550,0.3773840
17.0514840,0.7221332,0.3880500
17.1275089,0.7536932,0.3989470
17.2030850,0.7860471,0.4100766
17.2781983,0.8192073,0.4214401
17.3528348,0.8531863,0.4330388
17.4269803,0.8879962,0.4448737
17.5006209,0.9236494,0.4569455
17.5737426,0.9601583,0.4692546
17.6463311,0.9975351,0.4818014
17.7183726,1.0357923,0.4945856
17.7898530,1.0749420,0.5076069
17.8607582,1.1149968,0.5208645
17.9310741,1.1559689,0.5343572
18.0007868,1.1978705,0.5480836
18.0698821,1.2407142,0.5620416
18.1383461,1.2845121,0.5762290
18.2061646,1.3292766,0.5906428
18.2733237,1.3750200,0.6052799
18.3398092,1.4217548,0.6201363
18.4056072,1.4694931,0.6352079
18.4707035,1.5182474,0.6504898
18.5350842,1.5680299,0.6659767
18.5987352,1.6188530,0.6816628
18.6616424,1.6707290,0.6975417
18.7237917,1.7236703,0.7136064
18.7851693,1.7776891,0.7298496
18.8457609,1.8327979,0.7462632
18.9055525,1.8890088,0.7628388
18.9645302,1.9463344,0.7795673
19.0226798,2.0047868,0.7964392
19.0799871,2.0643763,0.8133694
19.1364364,2.1250882,0.8301224
19.1920106,2.1868926,0.8466934
19.2466929,2.2497592,0.8630946
19.3004663,2.3136578,0.8793386
19.3533140,2.3785581,0.8954376
19.4052189,2.4444298,0.9114039
19.4561643,2.5112428,0.9272496
19.5061331,2.5789666,0.9429867
19.5551084,2.6475712,0.9586273
19.6030734,2.7170262,0.9741833
19.6500110,2.7873014,0.9896666
19.6959044,2.8583666,1.0050889
19.7407367,2.9301914,1.0204619
19.7844910,3.0027456,1.0357975
19.8271502,3.0759990,1.0511071
19.8686976,3.1499213,1.0664026
19.9091161,3.2244823,1.0816953
19.9483889,3.2996516,1.0969971
19.9864990,3.3753992,1.1123194
20.0234295,3.4516946,1.1276739
20.0591635,3.5285077,1.1430721
20.0936841,3.6058082,1.1585258
20.1269744,3.6835658,1.1740466
20.1590173,3.7617503,1.1896461
20.1897961,3.8403314,1.2053362
20.2192938,3.9192790,1.2211287
20.2474935,3.9985626,1.2370353
20.2743782,4.0781521,1.2530681
20.2999310,4.1580172,1.2692389
20.3241350,4.2381277,1.2855599
20.3469734,4.3184533,1.3020430
20.3684291,4.3989638,1.3187005
20.3884852,4.4796289,1.3355444
20.4071249,4.5604183,1.3525870
20.4243312,4.6413018,1.3698404
20.4400871,4.7222491,1.3873169
20.4543759,4.8032301,1.4050287
20.4671804,4.8842143,1.4229878
20.4784839,4.9651717,1.4412064
20.4882694,5.0460719,1.4596963
20.4965200,5.1268846,1.4784694
20.5032187,5.2075797,1.4975373
20.5083487,5.2881268,1.5169112
20.5118930,5.3684958,1.5366022
20.5138347,5.4486563,1.5566209
20.5141569,5.5285781,1.5769775
20.5128427,5.6082310,1.5976816
20.5098751,5.6875846,1.6187422
20.5052372,5.7666088,1.6401676
20.4989121,5.8452733,1.6619654
20.4908828,5.9235479,1.6841420
20.4811326,6.0014022,1.7067028
20.4696445,6.0788061,1.7296303
20.4564160,6.1557368,1.7525148
20.4414700,6.2321846,1.7751904
20.4248322,6.3081413,1.7976439
20.4065284,6.3835987,1.8198632
20.3865842,6.4585487,1.8418376
20.3650254,6.5329829,1.8635574
20.3418776,6.6068933,1.8850143
20.3171666,6.6802715,1.9062010
20.2909179,6.7531095,1.9271114
20.2631575,6.8253989,1.9477408
20.2339108,6.8971316,1.9680851
20.2032037,6.9682993,1.9881417
20.1710618,7.0388939,2.0079087
20.1375109,7.1089072,2.0273852
20.1025766,7.1783309,2.0465712
20.0662846,7.2471568,2.0654675
20.0286607,7.3153767,2.0840757
19.9897305,7.3829825,2.1023980
19.9495197,7.4499659,2.1204375
19.9080541,7.5163187,2.1381977
19.8653593,7.5820327,2.1556826
19.8214610,7.6470997,2.1728968
19.7763849,7.7115115,2.1898453
19.7301568,7.7752598,2.2065336
19.6828023,7.8383365,2.2229674
19.6343472,7.9007334,2.2391528
19.5848170,7.9624423,2.2550961
19.5342376,8.0234549,2.2708041
19.4826346,8.0837630,2.2862835
19.4300338,8.1433585,2.3015414
19.3764607,8.2022331,2.3165848
19.3219412,8.2603786,2.3314212
19.2665009,8.3177868,2.3460579
19.2101656,8.3744496,2.3605025
19.1529608,8.4303586,2.3747625
19.0949124,8.4855058,2.3888456
19.0360460,8.5398828,2.4027595
18.9763873,8.5934815,2.4165120
18.9159621,8.6462937,2.4301108
18.8547960,8.6983111,2.4435639
18.7929146,8.7495256,2.4568789
18.7303438,8.7999290,2.4700638
18.6671093,8.8495130,2.4831264
18.6032366,8.8982694,2.4960747
18.5387516,8.9461901,2.5089166
18.4736798,8.9932668,2.5216599
18.4080471,9.0394913,2.5343126
18.3418791,9.0848554,2.5468828
18.2752015,9.1293509,2.5593783
18.2080401,9.1729696,2.5718073
18.1404204,9.2157033,2.5841778
18.0723683,9.2575438,2.5964980
18.0039093,9.2984828,2.6087759
17.9350689,9.3385125,2.6210194
17.8658620,9.3776309,2.6332287
17.7962939,9.4158419,2.6454011
17.7263696,9.4531498,2.6575337
17.6560937,9.4895588,2.6696239
17.5854712,9.5250730,2.6816689
17.5145069,9.5596965,2.6936664
17.4432056,9.5934337,2.7056138
17.3715723,9.6262887,2.7175087
17.2996116,9.6582657,2.7293488
17.2273285,9.6893689,2.7411319
17.1547277,9.7196024,2.7528560
17.0818142,9.7489705,2.7645188
17.0085928,9.7774773,2.7761186
16.9350683,9.8051271,2.7876533
16.8612455,9.8319240,2.7991213
16.7871294,9.8578722,2.8105209
16.7127246,9.8829760,2.8218504
16.6380361,9.9072394,2.8331085
16.5630688,9.9306668,2.8442936
16.4878274,9.9532622,2.8554044
16.4123167,9.9750299,2.8664398
16.3365417,9.9959740,2.8773985
16.2605072,10.0160988,2.8882796
16.1842180,10.0354085,2.8990821
16.1076789,10.0539072,2.9098051
16.0308948,10.0715991,2.9204477
15.9538705,10.0884884,2.9310094
15.8766109,10.1045794,2.9414894
15.7991208,10.1198761,2.9518873
15.7214050,10.1343828,2.9622025
15.6434685,10.1481037,2.9724346
15.5653159,10.1610430,2.9825834
15.4869522,10.1732048,2.9926485
15.4083822,10.1845934,3.0026298
15.3296108,10.1952129,3.0125271
15.2506427,10.2050675,3.0223405
15.1714828,10.2141615,3.0320698
15.0921360,10.2224990,3.0417152
15.0126071,10.2300841,3.0512768
14.9329009,10.2369212,3.0607548
14.8530224,10.2430143,3.0701494
14.7729762,10.2483677,3.0794608
14.6927673,10.2529856,3.0886895
14.6124004,10.2568721,3.0978357
14.5318805,10.2600315,3.1068999
14.4512124,10.2624678,3.1158826
14.3704009,10.2641855,3.1247842
14.2894509,10.2651885,3.1336053
14.2083671,10.2654811,-3.1408388
14.1271545,10.2650675,-3.1321770
14.0458178,10.2639519,-3.1235939
13.9643620,10.2621385,-3.1150888
13.8827918,10.2596315,-3.1066611
13.8011121,10.2564350,-3.0983100
13.7193277,10.2525532,-3.0900348
13.6374435,10.2479904,-3.0818347
13.5554643,10.2427507,-3.0737090
13.4733949,10.2368383,-3.0656568
13.3912403,10.2302575,-3.0576773
13.3090051,10.2230123,-3.0497697
13.2266944,10.2151070,-3.0419331
13.1443128,10.2065458,-3.0341666
13.0618653,10.1973329,-3.0264694
12.9793566,10.1874724,-3.0188406
12.8967917,10.1769686,-3.0112793
12.8141753,10.1658256,-3.0037845
12.7315124,10.1540476,-2.9963554
12.6488077,10.1416389,-2.9889909
12.5660660,10.1286035,-2.9816903
12.4832923,10.1149458,-2.9744525
12.4004914,10.1006699,-2.9672765
12.3176680,10.0857799,-2.9601616
12.2348271,10.0702801,-2.9531066
12.1519734,10.0541747,-2.9461106
12.0691119,10.0374678,-2.9391727
11.9862474,10.0201637,-2.9322920
11.9033846,10.0022665,-2.9254674
11.8205285,9.9837804,-2.9186981
11.7376838,9.9647097,-2.9119829
11.6548555,9.9450584,-2.9053211
11.5720483,9.9248309,-2.8987116
11.4892671,9.9040312,-2.8921535
11.4065167,9.8826636,-2.8856459
11.3238020,9.8607322,-2.8791877
11.2411279,9.8382414,-2.8727780
11.1584990,9.8151951,-2.8664160
11.0759204,9.7915977,-2.8601006
10.9933968,9.7674534,-2.8538309
10.9109331,9.7427662,-2.8476059
10.8285340,9.7175405,-2.8414248
10.7462046,9.6917803,-2.8352867
10.6639495,9.6654900,-2.8291905
10.5817736,9.6386736,-2.8231354
10.4996818,9.6113354,-2.8171204
10.4176789,9.5834795,-2.8111447
10.3357698,9.5551102,-2.8052074
10.2539592,9.5262317,-2.7993074
10.1722521,9.4968480,-2.7934440
10.0906532,9.4669635,-2.7876163
10.0091675,9.4365823,-2.7818233
9.9277996,9.4057087,-2.7760641
9.8465546,9.3743466,-2.7703380
9.7654372,9.3425005,-2.7646439
9.6844522,9.3101745,-2.7589811
9.6036046,9.2773727,-2.7533486
9.5228991,9.2440994,-2.7477456
9.4423405,9.2103587,-2.7421713
9.3619338,9.1761548,-2.7366247
9.2816837,9.1414920,-2.7311050
9.2015952,9.1063744,-2.7256114
9.1216730,9.0708062,-2.7201431
9.0419219,9.0347916,-2.7146991
8.9623469,8.9983347,-2.7092786
8.8829527,8.9614399,-2.7038808
8.8037442,8.9241112,-2.6985049
8.7247263,8.8863529,-2.6931499
8.6459037,8.8481691,-2.6878152
8.5672814,8.8095640,-2.6824998
8.4888641,8.7705419,-2.6772029
8.4106566,8.7311069,-2.6719238
8.3326640,8.6912632,-2.6666615
8.2548909,8.6510150,-2.6614152
8.1773422,8.6103665,-2.6561842
8.1000227,8.5693219,-2.6509676
8.0229374,8.5278854,-2.6457646
7.9460909,8.4860611,-2.6405743
7.8694883,8.4438532,-2.6353959
7.7931342,8.4012661,-2.6302287
7.7170336,8.3583037,-2.6250717
7.6411913,8.3149703,-2.6199243
7.5656121,8.2712702,-2.6147854
7.4903009,8.2272075,-2.6096544
7.4152624,8.1827863,-2.6045304
7.3405017,8.1380110,-2.5994126
7.2660234,8.0928856,-2.5943001
7.1918324,8.0474144,-2.5891920
7.1179336,8.0016015,-2.5840877
7.0443318,7.9554512,-2.5789861
6.9710318,7.9089676,-2.5738866
6.8980386,7.8621550,-2.5687882
6.8253568,7.8150174,-2.5636900
6.7529969,7.7675584,-2.5584603
6.6809925,7.7197779,-2.5529546
6.6093832,7.6716749,-2.5471655
6.5382087,7.6232487,-2.5410853
6.4675086,7.5744982,-2.5347055
6.3973227,7.5254227,-2.5280173
6.3276905,7.4760212,-2.5210109
6.2586519,7.4262928,-2.5136761
6.1902463,7.3762366,-2.5060017
6.1225135,7.3258517,-2.4979761
6.0554933,7.2751373,-2.4895869
5.9892251,7.2240923,-2.4808207
5.9237488,7.1727161,-2.4716637
5.8591039,7.1210075,-2.4621010
5.7953301,7.0689658,-2.4521170
5.7324672,7.0165901,-2.4416951
5.6705547,6.9638794,-2.4308180
5.6096324,6.9108328,-2.4194676
5.5497399,6.8574495,-2.4076245
5.4909168,6.8037286,-2.3952689
5.4332029,6.7496691,-2.3823797
5.3766379,6.6952702,-2.3689352
5.3212613,6.6405309,-2.3549128
5.2671128,6.5854505,-2.3402889
5.2142322,6.5300279,-2.3250394
5.1626590,6.4742622,-2.3091394
5.1124331,6.4181527,-2.2925635
5.0635939,6.3616984,-2.2752857
5.0161812,6.3048983,-2.2572799
4.9702347,6.2477517,-2.2385200
4.9257940,6.1902575,-2.2189798
4.8828988,6.1324149,-2.1986338
4.8415888,6.0742231,-2.1774572
4.8019036,6.0156810,-2.1554265
4.7638828,5.9567879,-2.1325198
4.7275663,5.8975428,-2.1087174
4.6929936,5.8379448,-2.0840023
4.6602044,5.7779930,-2.0583611
4.6292383,5.7176866,-2.0317843
4.6001352,5.6570246,-2.0042674
4.5729345,5.5960061,-1.9758113
4.5476759,5.5346302,-1.9464234
4.5243993,5.4728961,-1.9161182
4.5031441,5.4108029,-1.8849181
4.4839501,5.3483496,-1.8528537
4.4668570,5.2855353,-1.8199649
4.4519044,5.2223592,-1.7863006
4.4391319,5.1588204,-1.7519192
4.4285793,5.0949179,-1.7168886
4.4202863,5.0306509,-1.6812853
4.4142924,4.9660185,-1.6451945
4.4106374,4.9010197,-1.6087084
4.4093608,4.8356537,-1.5719256
4.4104949,4.7699230,-1.5353584
4.4140207,4.7038534,-1.4998211
4.4198985,4.6374799,-1.4653396
4.4280883,4.5708378,-1.4319128
4.4385504,4.5039622,-1.3995313
4.4512449,4.4368883,-1.3681786
4.4661319,4.3696514,-1.3378322
4.4831716,4.3022866,-1.3084648
4.5023242,4.2348291,-1.2800454
4.5235498,4.1673141,-1.2525399
4.5468085,4.0997768,-1.2259120
4.5720605,4.0322523,-1.2001241
4.5992660,3.9647760,-1.1751375
4.6283851,3.8973829,-1.1509132
4.6593780,3.8301083,-1.1274119
4.6922048,3.7629874,-1.1045950
4.7268256,3.6960553,-1.0824238
4.7632007,3.6293472,-1.0608608
4.8012901,3.5628984,-1.0398690
4.8410541,3.4967440,-1.0194126
4.8824527,3.4309191,-0.9994566
4.9254461,3.3654591,-0.9799670
4.9699945,3.3003991,-0.9609110
5.0160581,3.2357743,-0.9422567
5.0635969,3.1716198,-0.9239734
5.1125712,3.1079710,-0.9060311
5.1629410,3.0448628,-0.8884010
5.2146666,2.9823307,-0.8710551
5.2677081,2.9204096,-0.8539661
5.3220256,2.8591350,-0.8371077
5.3775792,2.7985418,-0.8204542
5.4343293,2.7386653,-0.8039805
5.4922358,2.6795408,-0.7876621
5.5512590,2.6212034,-0.7714752
5.6113589,2.5636882,-0.7553961
5.6724959,2.5070306,-0.7394018
5.7346299,2.4512656,-0.7234694
5.7977212,2.3964285,-0.7075763
5.8617298,2.3425545,-0.6917002
5.9266161,2.2896787,-0.6758189
5.9923400,2.2378363,-0.6599100
6.0588618,2.1870626,-0.6439513
6.1261416,2.1373927,-0.6279207
6.1941396,2.0888618,-0.6117955
6.2628159,2.0415052,-0.5955532
6.3321306,1.9953579,-0.5791709
6.4020440,1.9504552,-0.5626253
6.4725162,1.9068323,-0.5458930
6.5435072,1.8645244,-0.5289499
6.6149832,1.8235587,-0.5119191
6.6869326,1.7839317,-0.4949381
6.7593491,1.7456328,-0.4780172
6.8322264,1.7086513,-0.4611661
6.9055584,1.6729765,-0.4443945
6.9793388,1.6385977,-0.4277118
7.0535613,1.6055042,-0.4111270
7.1282198,1.5736853,-0.3946489
7.2033080,1.5431303,-0.3782859
7.2788197,1.5138286,-0.3620460
7.3547486,1.4857693,-0.3459370
7.4310885,1.4589419,-0.3299660
7.5078331,1.4333356,-0.3141401
7.5849763,1.4089397,-0.2984656
7.6625117,1.3857436,-0.2829486
