left_border_x,left_border_y,right_border_x,right_border_y,pos_x,pos_y,Lapdist
-0.0000000,3.0000000,0.0000000,5.0000000,-0.0000000,4.0000000,0.0000000
-0.0800000,3.0000000,-0.0800000,5.0000000,-0.0800000,4.0000000,0.0800000
-0.1600000,3.0000000,-0.1600000,5.0000000,-0.1600000,4.0000000,0.1600000
-0.2400000,3.0000000,-0.2400000,5.0000000,-0.2400000,4.0000000,0.2400000
-0.3200000,3.0000000,-0.3200000,5.0000000,-0.3200000,4.0000000,0.3200000
-0.4000000,3.0000000,-0.4000000,5.0000000,-0.4000000,4.0000000,0.4000000
-0.4800000,3.0000000,-0.4800000,5.0000000,-0.4800000,4.0000000,0.4800000
-0.5600000,3.0000000,-0.5600000,5.0000000,-0.5600000,4.0000000,0.5600000
-0.6400000,3.0000000,-0.6400000,5.0000000,-0.6400000,4.0000000,0.6400000
-0.7200000,3.0000000,-0.7200000,5.0000000,-0.7200000,4.0000000,0.7200000
-0.8000000,3.0000000,-0.8000000,5.0000000,-0.8000000,4.0000000,0.8000000
-0.8800000,3.0000000,-0.8800000,5.0000000,-0.8800000,4.0000000,0.8800000
-0.9600000,3.0000000,-0.9600000,5.0000000,-0.9600000,4.0000000,0.9600000
-1.0400000,3.0000000,-1.0400000,5.0000000,-1.0400000,4.0000000,1.0400000
-1.1200000,3.0000000,-1.1200000,5.0000000,-1.1200000,4.0000000,1.1200000
-1.2000000,3.0000000,-1.2000000,5.0000000,-1.2000000,4.0000000,1.2000000
-1.2800000,3.0000000,-1.2800000,5.0000000,-1.2800000,4.0000000,1.2800000
-1.3600000,3.0000000,-1.3600000,5.0000000,-1.3600000,4.0000000,1.3600000
-1.4400000,3.0000000,-1.4400000,5.0000000,-1.4400000,4.0000000,1.4400000
-1.5200000,3.0000000,-1.5200000,5.0000000,-1.5200000,4.0000000,1.5200000
-1.6000000,3.0000000,-1.6000000,5.0000000,-1.6000000,4.0000000,1.6000000
-1.6800000,3.0000000,-1.6800000,5.0000000,-1.6800000,4.0000000,1.6800000
-1.7600000,3.0000000,-1.7600000,5.0000000,-1.7600000,4.0000000,1.7600000
-1.8400000,3.0000000,-1.8400000,5.0000000,-1.8400000,4.0000000,1.8400000
-1.9200000,3.0000000,-1.9200000,5.0000000,-1.9200000,4.0000000,1.9200000
-2.0000000,3.0000000,-2.0000000,5.0000000,-2.0000000,4.0000000,2.0000000
-2.0800000,3.0000000,-2.0800000,5.0000000,-2.0800000,4.0000000,2.0800000
-2.1600000,3.0000000,-2.1600000,5.0000000,-2.1600000,4.0000000,2.1600000
-2.2400000,3.0000000,-2.2400000,5.0000000,-2.2400000,4.0000000,2.2400000
-2.3200000,3.0000000,-2.3200000,5.0000000,-2.3200000,4.0000000,2.3200000
-2.4000000,3.0000000,-2.4000000,5.0000000,-2.4000000,4.0000000,2.4000000
-2.4800000,3.0000000,-2.4800000,5.0000000,-2.4800000,4.0000000,2.4800000
-2.5600000,3.0000000,-2.5600000,5.0000000,-2.5600000,4.0000000,2.5600000
-2.6400000,3.0000000,-2.6400000,5.0000000,-2.6400000,4.0000000,2.6400000
-2.7200000,3.0000000,-2.7200000,5.0000000,-2.7200000,4.0000000,2.7200000
-2.8000000,3.0000000,-2.8000000,5.0000000,-2.8000000,4.0000000,2.8000000
-2.8800000,3.0000000,-2.8800000,5.0000000,-2.8800000,4.0000000,2.8800000
-2.9600000,3.0000000,-2.9600000,5.0000000,-2.9600000,4.0000000,2.9600000
-3.0400000,3.0000000,-3.0400000,5.0000000,-3.0400000,4.0000000,3.0400000
-3.1200000,3.0000000,-3.1200000,5.0000000,-3.1200000,4.0000000,3.1200000
-3.2000000,3.0000000,-3.2000000,5.0000000,-3.2000000,4.0000000,3.2000000
-3.2800000,3.0000000,-3.2800000,5.0000000,-3.2800000,4.0000000,3.2800000
-3.3600000,3.0000000,-3.3600000,5.0000000,-3.3600000,4.0000000,3.3600000
-3.4400000,3.0000000,-3.4400000,5.0000000,-3.4400000,4.0000000,3.4400000
-3.5200000,3.0000000,-3.5200000,5.0000000,-3.5200000,4.0000000,3.5200000
-3.6000000,3.0000000,-3.6000000,5.0000000,-3.6000000,4.0000000,3.6000000
-3.6800000,3.0000000,-3.6800000,5.0000000,-3.6800000,4.0000000,3.6800000
-3.7600000,3.0000000,-3.7600000,5.0000000,-3.7600000,4.0000000,3.7600000
-3.8400000,3.0000000,-3.8400000,5.0000000,-3.8400000,4.0000000,3.8400000
-3.9200000,3.0000000,-3.9200000,5.0000000,-3.9200000,4.0000000,3.9200000
-4.0000000,3.0000000,-4.0000000,5.0000000,-4.0000000,4.0000000,4.0000000
-4.0600264,2.9993994,-4.1000440,4.9989990,-4.0800352,3.9991992,4.0800392
-4.1200288,2.9975979,-4.2000480,4.9959965,-4.1600384,3.9967972,4.1600785
-4.1799832,2.9945961,-4.2999719,4.9909936,-4.2399775,3.9927949,4.2401177
-4.2398654,2.9903954,-4.3997757,4.9839923,-4.3198206,3.9871939,4.3201570
-4.2996517,2.9849973,-4.4994194,4.9749955,-4.3995355,3.9799964,4.4001962
-4.3593179,2.9784040,-4.5988632,4.9640067,-4.4790905,3.9712054,4.4802355
-4.4188403,2.9706183,-4.6980671,4.9510304,-4.5584537,3.9608243,4.5602747
-4.4781950,2.9616431,-4.7969916,4.9360718,-4.6375933,3.9488574,4.6403139
-4.5373582,2.9514820,-4.8955970,4.9191367,-4.7164776,3.9353094,4.7203532
-4.5963063,2.9401393,-4.9938438,4.9002321,-4.7950750,3.9201857,4.8003924
-4.6550156,2.9276193,-5.0916926,4.8793655,-4.8733541,3.9034924,4.8804317
-4.7134626,2.9139271,-5.1891043,4.8565452,-4.9512835,3.8852361,4.9604709
-4.7716240,2.8990682,-5.2860400,4.8317803,-5.0288320,3.8654243,5.0405101
-4.8294764,2.8830485,-5.3824607,4.8050809,-5.1059685,3.8440647,5.1205494
-4.8869967,2.8658745,-5.4783279,4.7764576,-5.1826623,3.8211660,5.2005886
-4.9441619,2.8475530,-5.5736031,4.7459217,-5.2588825,3.7967374,5.2806279
