time,x,y,yaw,v_actual,v_cmd,e_y,e_psi,curvature_ref,delta_feedback,delta_feedforward,delta_cmd,lqr_k_y,lqr_k_psi,closest_idx,segment_idx,segment_t,compute_time_ms
1778841142.295753,0.000000,0.000000,0.000000,0.000000,0.000000,-0.458350,0.023530,-0.041874,0.814473,-0.011061,0.360000,1.866723,1.748343,79,79,0.196200,1.611891
1778841142.298221,0.000000,0.000000,0.000000,0.000000,0.002468,-0.458350,0.023530,-0.041874,0.870793,-0.011061,0.360000,1.993202,1.818574,79,79,0.196200,0.640550
1778841142.302534,0.000000,0.000000,0.000000,0.000000,0.006781,-0.458350,0.023530,-0.041874,0.868535,-0.011061,0.360000,1.988133,1.815788,79,79,0.196200,0.577470
1778841142.306350,0.000000,0.000000,0.000000,0.000000,0.010596,-0.458350,0.023530,-0.041874,0.869143,-0.011061,0.360000,1.989499,1.816539,79,79,0.196200,1.438181
1778841142.310215,0.000000,0.000000,0.000000,0.000000,0.014462,-0.458350,0.023530,-0.041874,0.869083,-0.011061,0.360000,1.989363,1.816464,79,79,0.196200,0.734215
1778841142.314335,0.000001,0.000000,0.000000,0.000138,0.018582,-0.458350,0.023530,-0.041874,0.868770,-0.011061,0.360000,1.988662,1.816079,79,79,0.196219,0.598318
1778841142.318236,0.000001,0.000000,0.000000,0.000138,0.022483,-0.458350,0.023530,-0.041874,0.869039,-0.011061,0.360000,1.989265,1.816410,79,79,0.196219,1.258354
1778841142.323023,0.000007,0.000000,0.000000,0.001200,0.027269,-0.458350,0.023531,-0.041872,0.867956,-0.011060,0.360000,1.986836,1.815075,79,79,0.196406,0.673365
1778841142.326236,0.000007,0.000000,0.000000,0.001200,0.030483,-0.458350,0.023531,-0.041872,0.869878,-0.011060,0.360000,1.991153,1.817448,79,79,0.196406,2.636853
1778841142.331396,0.000007,0.000000,0.000000,0.001200,0.035642,-0.458350,0.023531,-0.041872,0.867500,-0.011060,0.360000,1.985813,1.814512,79,79,0.196406,0.706828
1778841142.335210,0.000026,0.000000,0.000003,0.002592,0.039456,-0.458349,0.023534,-0.041866,0.869136,-0.011059,0.360000,1.989503,1.816541,79,79,0.196936,1.650219
1778841142.338770,0.000026,0.000000,0.000003,0.002592,0.043017,-0.458349,0.023534,-0.041866,0.869446,-0.011059,0.360000,1.990198,1.816923,79,79,0.196936,1.186693
1778841142.343241,0.000062,0.000000,0.000012,0.004515,0.047487,-0.458348,0.023544,-0.041856,0.868314,-0.011056,0.360000,1.987703,1.815551,79,79,0.197930,0.714626
1778841142.347269,0.000062,0.000000,0.000012,0.004515,0.051516,-0.458348,0.023544,-0.041856,0.868854,-0.011056,0.360000,1.988915,1.816218,79,79,0.197930,0.728502
1778841142.350201,0.000062,0.000000,0.000012,0.004515,0.054448,-0.458348,0.023544,-0.041856,0.870195,-0.011056,0.360000,1.991926,1.817873,79,79,0.197930,0.756999
1778841142.354681,0.000119,0.000000,0.000032,0.006889,0.058928,-0.458347,0.023566,-0.041839,0.868259,-0.011052,0.360000,1.987674,1.815536,79,79,0.199523,0.738121
1778841142.358213,0.000119,0.000000,0.000032,0.006889,0.062460,-0.458347,0.023566,-0.041839,0.869419,-0.011052,0.360000,1.990278,1.816967,79,79,0.199523,0.640410
1778841142.363668,0.000201,0.000000,0.000068,0.009531,0.067915,-0.458345,0.023606,-0.041815,0.866994,-0.011045,0.360000,1.985005,1.814067,79,79,0.201818,0.717104
1778841142.366273,0.000201,0.000000,0.000068,0.009531,0.070520,-0.458345,0.023606,-0.041815,0.870477,-0.011045,0.360000,1.992823,1.818366,79,79,0.201818,0.625716
1778841142.370209,0.000201,0.000000,0.000068,0.009531,0.074455,-0.458345,0.023606,-0.041815,0.868850,-0.011045,0.360000,1.989170,1.816358,79,79,0.201818,0.672531
1778841142.374213,0.000312,0.000000,0.000128,0.012618,0.078460,-0.458342,0.023670,-0.041782,0.868643,-0.011037,0.360000,1.988981,1.816254,79,79,0.204913,0.762603
1778841142.378235,0.000312,0.000000,0.000128,0.012618,0.082482,-0.458342,0.023670,-0.041782,0.868622,-0.011037,0.360000,1.988933,1.816227,79,79,0.204913,0.917790
1778841142.382531,0.000455,0.000000,0.000219,0.015940,0.086778,-0.458339,0.023767,-0.041741,0.868104,-0.011025,0.360000,1.988180,1.815814,79,79,0.208904,0.836982
1778841142.386241,0.000455,0.000000,0.000219,0.015940,0.090488,-0.458339,0.023767,-0.041741,0.868820,-0.011025,0.360000,1.989790,1.816699,79,79,0.208904,0.677400
1778841142.391263,0.000455,0.000000,0.000219,0.015940,0.095510,-0.458339,0.023767,-0.041741,0.867217,-0.011025,0.360000,1.986189,1.814719,79,79,0.208904,0.605379
1778841142.395403,0.000632,0.000000,0.000351,0.019485,0.099649,-0.458334,0.023905,-0.041688,0.868035,-0.011012,0.360000,1.988610,1.816050,79,79,0.213855,0.606367
1778841142.399066,0.000632,0.000000,0.000351,0.019485,0.103313,-0.458334,0.023905,-0.041688,0.868616,-0.011012,0.360000,1.989916,1.816768,79,79,0.213855,0.572603
1778841142.403869,0.000846,0.000000,0.000533,0.023471,0.108115,-0.458329,0.024095,-0.041625,0.866871,-0.010995,0.360000,1.986793,1.815051,79,79,0.219858,3.036819
1778841142.406205,0.000846,0.000000,0.000533,0.023471,0.110452,-0.458329,0.024095,-0.041625,0.869884,-0.010995,0.360000,1.993562,1.818772,79,79,0.219858,0.681592
1778841142.410211,0.000846,0.000000,0.000533,0.023471,0.114457,-0.458329,0.024095,-0.041625,0.867843,-0.010995,0.360000,1.988979,1.816253,79,79,0.219858,0.647283
1778841142.414237,0.001102,0.000000,0.000776,0.027607,0.118484,-0.458323,0.024348,-0.041550,0.867346,-0.010975,0.360000,1.988920,1.816221,79,79,0.226995,1.843169
1778841142.418223,0.001102,0.000000,0.000776,0.027607,0.122470,-0.458323,0.024348,-0.041550,0.867395,-0.010975,0.360000,1.989031,1.816281,79,79,0.226995,2.317690
1778841142.422512,0.001400,0.000001,0.001092,0.032118,0.126759,-0.458315,0.024676,-0.041463,0.866415,-0.010952,0.360000,1.988200,1.815824,79,79,0.235342,0.625430
1778841142.426239,0.001400,0.000001,0.001092,0.032118,0.130486,-0.458315,0.024676,-0.041463,0.867101,-0.010952,0.360000,1.989742,1.816672,79,79,0.235342,1.640918
1778841142.430210,0.001400,0.000001,0.001092,0.032118,0.134457,-0.458315,0.024676,-0.041463,0.866804,-0.010952,0.360000,1.989073,1.816305,79,79,0.235342,0.589335
1778841142.434290,0.001746,0.000001,0.001496,0.036984,0.138537,-0.458307,0.025094,-0.041361,0.865894,-0.010925,0.360000,1.988772,1.816139,79,79,0.244998,0.575291
