time,x,y,yaw,v_actual,v_cmd,e_y,e_psi,control_e_y,control_e_psi,filtered_e_y,filtered_e_psi,curvature_ref,curvature_preview,delta_raw,delta_rate_limited,delta_feedback,delta_feedforward,delta_cmd,lqr_k_y,lqr_k_psi,closest_idx,segment_idx,segment_t,compute_time_ms
1779721370.495048,0.000000,5.000000,-3.141585,0.000000,0.000000,-0.000027,-0.200327,-0.000027,-0.200327,-0.000027,-0.200327,0.000000,7.236164,0.148607,1,0.148607,0.000000,0.100000,0.603802,0.741741,1,0,0.874034,1.805344
1779721370.498956,0.000000,5.000000,-3.141585,0.000000,0.003908,-0.000027,-0.200327,-0.000027,-0.200327,-0.000027,-0.200327,0.000000,7.236164,0.149133,1,0.149133,0.000000,0.107817,0.611698,0.744366,1,0,0.874034,1.276097
1779721370.502967,0.000000,5.000000,-3.141585,0.000000,0.007919,-0.000027,-0.200327,-0.000027,-0.200327,-0.000027,-0.200327,0.000000,7.236164,0.149132,1,0.149132,0.000000,0.115838,0.611681,0.744360,1,0,0.874034,1.318753
1779721370.507307,0.000000,5.000000,-3.141585,0.000075,0.012259,-0.000027,-0.200327,-0.000027,-0.200327,-0.000027,-0.200327,0.000000,7.236164,0.149128,1,0.149128,0.000000,0.124518,0.611624,0.744341,1,0,0.874034,1.204651
1779721370.510965,-0.000000,5.000000,-3.141585,0.000075,0.015917,-0.000027,-0.200302,-0.000027,-0.200302,-0.000027,-0.200302,0.000000,7.236164,0.149117,1,0.149117,0.000000,0.131835,0.611741,0.744380,1,0,0.876528,1.220050
1779721370.515511,-0.000000,5.000000,-3.141585,0.000829,0.020464,-0.000027,-0.200302,-0.000027,-0.200302,-0.000027,-0.200302,0.000000,7.236164,0.149107,1,0.149107,0.000000,0.140927,0.611588,0.744329,1,0,0.876528,1.522458
1779721370.518971,-0.000005,5.000000,-3.141585,0.000829,0.023924,-0.000028,-0.199996,-0.000028,-0.199996,-0.000028,-0.199996,0.000000,7.236164,0.148892,1,0.148892,0.000000,0.147847,0.611776,0.744391,1,0,0.906456,1.638690
1779721370.523033,-0.000005,5.000000,-3.141585,0.000829,0.027986,-0.000028,-0.199996,-0.000028,-0.199996,-0.000028,-0.199996,0.000000,7.236164,0.148885,0,0.148885,0.000000,0.148885,0.611672,0.744357,1,0,0.906456,2.786811
1779721370.526966,-0.000005,5.000000,-3.141585,0.001927,0.031918,-0.000028,-0.199996,-0.000028,-0.199996,-0.000028,-0.199996,0.000000,7.236164,0.148887,0,0.148887,0.000000,0.148887,0.611694,0.744364,1,0,0.906456,1.909363
1779721370.530958,-0.000019,5.000000,-3.141585,0.001927,0.035911,-0.000031,-0.199061,-0.000031,-0.199061,-0.000031,-0.199061,0.000000,7.236164,0.148192,0,0.148192,0.000000,0.148192,0.611684,0.744361,1,0,0.997684,2.525479
1779721370.535537,-0.000019,5.000000,-3.141585,0.003543,0.040490,-0.000031,-0.199061,-0.000031,-0.199061,-0.000031,-0.199061,0.000000,7.236164,0.148185,0,0.148185,0.000000,0.148185,0.611583,0.744328,1,0,0.997684,2.809974
1779721370.538970,-0.000046,5.000000,-3.141580,0.003543,0.043923,-0.000036,-0.198739,-0.000036,-0.198739,-0.000036,-0.198739,-0.193893,7.236164,0.084025,1,0.147962,-0.063936,0.141319,0.611780,0.744393,1,1,0.026795,2.604004
1779721370.543002,-0.000046,5.000000,-3.141580,0.003543,0.047954,-0.000036,-0.198739,-0.000036,-0.198739,-0.000036,-0.198739,-0.193893,7.236164,0.084019,1,0.147955,-0.063936,0.133257,0.611677,0.744359,1,1,0.026795,3.434755
1779721370.546965,-0.000046,5.000000,-3.141580,0.005463,0.051917,-0.000036,-0.198739,-0.000036,-0.198739,-0.000036,-0.198739,-0.193893,7.236164,0.084019,1,0.147956,-0.063936,0.125331,0.611689,0.744363,1,1,0.026795,2.979740
1779721370.550985,-0.000046,5.000000,-3.141580,0.005463,0.055937,-0.000036,-0.198739,-0.000036,-0.198739,-0.000036,-0.198739,-0.193893,7.236164,0.084019,1,0.147955,-0.063936,0.117291,0.611679,0.744359,1,1,0.026795,2.673903
1779721370.555559,-0.000046,5.000000,-3.141580,0.007483,0.060512,-0.000036,-0.198739,-0.000036,-0.198739,-0.000036,-0.198739,-0.193893,7.236164,0.084013,1,0.147949,-0.063936,0.108142,0.611583,0.744328,1,1,0.026795,2.994086
1779721370.558958,-0.000046,5.000000,-3.141580,0.007483,0.063910,-0.000036,-0.198739,-0.000036,-0.198739,-0.000036,-0.198739,-0.193893,7.236164,0.084026,1,0.147962,-0.063936,0.101344,0.611786,0.744395,1,1,0.026795,2.585544
