time,ego_collision,done,x,y,theta,requested_speed,steering_angle
1779540574.500258,0,1,-0.235132,0.219255,0.038236,0.500000,-0.004596
1779540574.510571,0,1,-0.230136,0.219445,0.037994,0.500000,-0.004596
1779540574.520454,0,1,-0.225139,0.219634,0.037752,0.500000,-0.004378
1779540574.530060,0,1,-0.220143,0.219823,0.037509,0.500000,-0.004235
1779540574.540314,0,1,-0.215146,0.220009,0.037267,0.500000,-0.004235
1779540574.550507,0,1,-0.210150,0.220195,0.037025,0.500000,-0.003981
1779540574.560393,0,1,-0.205153,0.220380,0.036783,0.500000,-0.003850
1779540574.570437,0,1,-0.200156,0.220563,0.036540,0.500000,-0.003850
1779540574.580235,0,1,-0.195160,0.220745,0.036298,0.500000,-0.003632
1779540574.590438,0,1,-0.190163,0.220926,0.036056,0.500000,-0.003492
1779540574.600456,0,1,-0.185166,0.221105,0.035813,0.500000,-0.003492
1779540574.610424,0,1,-0.180169,0.221284,0.035571,0.500000,-0.003291
1779540574.620429,0,1,-0.175173,0.221461,0.035329,0.500000,-0.003176
1779540574.630648,0,1,-0.170176,0.221637,0.035086,0.500000,-0.003176
1779540574.640313,0,1,-0.165179,0.221812,0.034844,0.500000,-0.002967
1779540574.650221,0,1,-0.160182,0.221986,0.034602,0.500000,-0.002967
1779540574.659961,0,1,-0.155185,0.222158,0.034359,0.500000,-0.002668
1779540574.670281,0,1,-0.150188,0.222329,0.034117,0.500000,-0.002557
1779540574.680165,0,1,-0.145190,0.222499,0.033875,0.500000,-0.002557
1779540574.690414,0,1,-0.140193,0.222668,0.033632,0.500000,-0.002308
1779540574.700282,0,1,-0.135196,0.222835,0.033390,0.500000,-0.002145
1779540574.710438,0,1,-0.130199,0.223002,0.033148,0.500000,-0.002145
1779540574.720226,0,1,-0.125202,0.223167,0.032905,0.500000,-0.001920
1779540574.730250,0,1,-0.120204,0.223331,0.032663,0.500000,-0.001791
1779540574.740224,0,1,-0.115207,0.223493,0.032421,0.500000,-0.001654
1779540574.750583,0,1,-0.110210,0.223655,0.032178,0.500000,-0.001654
1779540574.760278,0,1,-0.105212,0.223815,0.031936,0.500000,-0.001436
1779540574.770338,0,1,-0.100215,0.223974,0.031694,0.500000,-0.001264
1779540574.780220,0,1,-0.095217,0.224132,0.031452,0.500000,-0.001264
1779540574.790513,0,1,-0.090220,0.224289,0.031209,0.500000,-0.001064
1779540574.800337,0,1,-0.085222,0.224444,0.030967,0.500000,-0.000989
1779540574.810292,0,1,-0.080224,0.224598,0.030725,0.500000,-0.000989
1779540574.820233,0,1,-0.075227,0.224751,0.030482,0.500000,-0.000714
1779540574.830464,0,1,-0.070229,0.224903,0.030240,0.500000,-0.000606
