time,ego_collision,done,x,y,theta,requested_speed,steering_angle
1779542748.097949,0,1,-0.234402,0.219472,0.027272,1.000000,-0.004797
1779542748.107987,0,1,-0.224404,0.219661,0.026697,1.000000,-0.004797
1779542748.118117,0,1,-0.214406,0.219859,0.026311,1.000000,-0.004801
1779542748.127808,0,1,-0.204408,0.220039,0.025736,1.000000,-0.004801
1779542748.137970,0,1,-0.194409,0.220228,0.025350,1.000000,-0.004141
1779542748.148027,0,1,-0.184411,0.220398,0.024775,1.000000,-0.004141
1779542748.157598,0,1,-0.174412,0.220577,0.024390,1.000000,-0.004141
1779542748.167707,0,1,-0.164414,0.220737,0.023814,1.000000,-0.004311
1779542748.177921,0,1,-0.154415,0.220906,0.023429,1.000000,-0.004311
1779542748.187715,0,1,-0.144416,0.221057,0.022853,1.000000,-0.003632
1779542748.197680,0,1,-0.134418,0.221216,0.022468,1.000000,-0.003632
1779542748.207737,0,1,-0.124419,0.221358,0.021892,1.000000,-0.003977
1779542748.217785,0,1,-0.114420,0.221508,0.021507,1.000000,-0.003977
1779542748.227647,0,1,-0.104421,0.221639,0.020931,1.000000,-0.003977
1779542748.237889,0,1,-0.094422,0.221780,0.020546,1.000000,-0.002914
1779542748.247654,0,1,-0.084422,0.221901,0.019970,1.000000,-0.002914
1779542748.258100,0,1,-0.074423,0.222032,0.019585,1.000000,-0.003270
1779542748.267637,0,1,-0.064424,0.222145,0.019009,1.000000,-0.003270
1779542748.277816,0,1,-0.054425,0.222266,0.018624,1.000000,-0.003270
1779542748.287760,0,1,-0.044425,0.222368,0.018048,1.000000,-0.002329
1779542748.297902,0,1,-0.034426,0.222480,0.017663,1.000000,-0.002329
1779542748.307831,0,1,-0.024426,0.222573,0.017087,1.000000,-0.002697
1779542748.317891,0,1,-0.014427,0.222675,0.016702,1.000000,-0.002697
1779542748.327655,0,1,-0.004427,0.222759,0.016126,1.000000,-0.002697
1779542748.337485,0,1,0.005573,0.222851,0.015741,1.000000,-0.001607
1779542748.347929,0,1,0.015572,0.222925,0.015165,1.000000,-0.001607
1779542748.357549,0,1,0.025572,0.223007,0.014780,1.000000,-0.000873
1779542748.367829,0,1,0.035572,0.223072,0.014204,1.000000,-0.000873
1779542748.377855,0,1,0.045571,0.223145,0.013819,1.000000,-0.000156
1779542748.387617,0,1,0.055571,0.223200,0.013243,1.000000,-0.000156
1779542748.397728,0,1,0.065571,0.223263,0.012858,1.000000,0.000573
1779542748.408175,0,1,0.075571,0.223308,0.012282,1.000000,0.000573
1779542748.417716,0,1,0.085571,0.223386,0.012143,1.000000,0.000573
1779542748.427866,0,1,0.095570,0.223525,0.012519,1.000000,0.000799
1779542748.437869,0,1,0.105568,0.223680,0.012825,1.000000,0.000799
1779542748.447742,0,1,0.115567,0.223869,0.013366,1.000000,-0.000792
1779542748.458113,0,1,0.125565,0.224058,0.013735,1.000000,-0.000792
1779542748.467418,0,1,0.135563,0.224271,0.014302,1.000000,-0.000114
1779542748.478266,0,1,0.145561,0.224455,0.014437,1.000000,-0.000114
1779542748.487786,0,1,0.155560,0.224579,0.014058,1.000000,-0.000114
1779542748.498041,0,1,0.165560,0.224687,0.013751,1.000000,-0.000723
1779542748.507567,0,1,0.175559,0.224763,0.013209,1.000000,-0.000723
1779542748.517705,0,1,0.185559,0.224839,0.012840,1.000000,-0.002910
1779542748.527914,0,1,0.195559,0.224892,0.012272,1.000000,-0.002910
1779542748.537503,0,1,0.205559,0.224950,0.011891,1.000000,-0.002838
1779542748.548014,0,1,0.215559,0.224988,0.011318,1.000000,-0.002838
1779542748.557551,0,1,0.225558,0.225034,0.010934,1.000000,-0.002838
1779542748.567714,0,1,0.235558,0.225061,0.010359,1.000000,-0.002838
1779542748.577601,0,1,0.245558,0.225096,0.009974,1.000000,-0.002848
1779542748.587696,0,1,0.255558,0.225112,0.009399,1.000000,-0.002848
1779542748.597733,0,1,0.265558,0.225137,0.009013,1.000000,-0.002848
1779542748.607988,0,1,0.275558,0.225144,0.008438,1.000000,-0.002378
1779542748.617953,0,1,0.285558,0.225160,0.008053,1.000000,-0.002378
1779542748.627694,0,1,0.295558,0.225157,0.007477,1.000000,-0.002378
1779542748.637552,0,1,0.305558,0.225163,0.007092,1.000000,-0.002378
1779542748.648110,0,1,0.315558,0.225150,0.006516,1.000000,-0.002063
1779542748.657934,0,1,0.325558,0.225146,0.006131,1.000000,-0.002063
1779542748.667471,0,1,0.335558,0.225124,0.005555,1.000000,-0.002063
1779542748.678738,0,1,0.345558,0.225111,0.005170,1.000000,-0.001206
1779542748.688002,0,1,0.355558,0.225079,0.004594,1.000000,-0.001206
1779542748.697813,0,1,0.365558,0.225056,0.004209,1.000000,-0.001206
1779542748.708300,0,1,0.375558,0.225015,0.003633,1.000000,-0.000776
1779542748.717834,0,1,0.385558,0.224982,0.003248,1.000000,-0.000776
1779542748.727880,0,1,0.395558,0.224931,0.002672,1.000000,-0.000010
1779542748.737951,0,1,0.405558,0.224889,0.002287,1.000000,-0.000010
1779542748.748132,0,1,0.415558,0.224828,0.001711,1.000000,-0.000010
1779542748.757985,0,1,0.425557,0.224788,0.001449,1.000000,0.000204
1779542748.768214,0,1,0.435557,0.224770,0.001349,1.000000,0.000204
1779542748.777552,0,1,0.445557,0.224776,0.001432,1.000000,0.000962
1779542748.787730,0,1,0.455557,0.224829,0.001891,1.000000,0.000962
1779542748.798265,0,1,0.465557,0.224891,0.002228,1.000000,0.000962
1779542748.808167,0,1,0.475557,0.224981,0.002782,1.000000,0.000900
1779542748.817967,0,1,0.485556,0.225069,0.003157,1.000000,0.000900
1779542748.827973,0,1,0.495556,0.225179,0.003727,1.000000,0.000898
1779542748.837765,0,1,0.505555,0.225282,0.004110,1.000000,0.000898
1779542748.847848,0,1,0.515554,0.225405,0.004684,1.000000,0.000898
1779542748.857657,0,1,0.525554,0.225519,0.005068,1.000000,-0.000276
1779542748.868388,0,1,0.535553,0.225653,0.005643,1.000000,-0.000276
1779542748.877505,0,1,0.545552,0.225754,0.005782,1.000000,-0.001509
1779542748.888388,0,1,0.555552,0.225794,0.005406,1.000000,-0.001509
1779542748.898180,0,1,0.565552,0.225818,0.005100,1.000000,-0.001509
1779542748.907595,0,1,0.575552,0.225808,0.004559,1.000000,-0.002364
1779542748.918233,0,1,0.585552,0.225798,0.004190,1.000000,-0.002364
1779542748.927976,0,1,0.595552,0.225764,0.003623,1.000000,-0.003090
1779542748.937852,0,1,0.605552,0.225736,0.003242,1.000000,-0.003090
1779542748.947597,0,1,0.615552,0.225688,0.002669,1.000000,-0.003090
1779542748.957715,0,1,0.625552,0.225647,0.002285,1.000000,-0.002956
1779542748.967689,0,1,0.635552,0.225587,0.001710,1.000000,-0.002956
1779542748.977595,0,1,0.645551,0.225536,0.001325,1.000000,-0.002956
1779542748.987570,0,1,0.655551,0.225466,0.000750,1.000000,-0.003423
1779542748.997736,0,1,0.665551,0.225405,0.000364,1.000000,-0.003423
1779542749.007933,0,1,0.675551,0.225325,6.282974,1.000000,-0.003423
1779542749.017879,0,1,0.685550,0.225254,6.282589,1.000000,-0.003290
1779542749.028410,0,1,0.695550,0.225165,6.282013,1.000000,-0.003290
1779542749.037959,0,1,0.705550,0.225084,6.281628,1.000000,-0.003290
1779542749.048404,0,1,0.715549,0.224985,6.281052,1.000000,-0.003290
1779542749.057883,0,1,0.725549,0.224895,6.280667,1.000000,-0.003332
1779542749.067670,0,1,0.735548,0.224786,6.280091,1.000000,-0.003332
1779542749.077840,0,1,0.745548,0.224686,6.279706,1.000000,-0.003332
1779542749.088210,0,1,0.755547,0.224568,6.279130,1.000000,-0.001831
1779542749.098482,0,1,0.765546,0.224459,6.278745,1.000000,-0.001831
1779542749.108099,0,1,0.775546,0.224331,6.278169,1.000000,-0.001831
1779542749.118312,0,1,0.785545,0.224212,6.277784,1.000000,-0.001831
1779542749.127722,0,1,0.795544,0.224074,6.277208,1.000000,-0.001540
1779542749.138491,0,1,0.805543,0.223945,6.276823,1.000000,-0.001540
1779542749.147619,0,1,0.815542,0.223798,6.276247,1.000000,-0.001540
1779542749.157928,0,1,0.825541,0.223660,6.275862,1.000000,-0.001540
1779542749.167513,0,1,0.835540,0.223503,6.275286,1.000000,-0.000846
1779542749.178045,0,1,0.845539,0.223355,6.274901,1.000000,-0.000846
1779542749.187654,0,1,0.855537,0.223189,6.274325,1.000000,0.000194
1779542749.197586,0,1,0.865536,0.223031,6.273940,1.000000,0.000194
1779542749.207588,0,1,0.875534,0.222855,6.273364,1.000000,0.000194
1779542749.217931,0,1,0.885533,0.222712,6.273225,1.000000,0.000194
1779542749.227831,0,1,0.895533,0.222630,6.273602,1.000000,0.000574
1779542749.238010,0,1,0.905533,0.222564,6.273907,1.000000,0.000574
1779542749.247467,0,1,0.915533,0.222532,6.274448,1.000000,0.000574
1779542749.257780,0,1,0.925533,0.222501,6.274817,1.000000,0.000876
1779542749.267747,0,1,0.935533,0.222492,6.275384,1.000000,0.000876
1779542749.277985,0,1,0.945533,0.222479,6.275765,1.000000,0.000876
1779542749.287670,0,1,0.955533,0.222485,6.276338,1.000000,0.000876
1779542749.297802,0,1,0.965533,0.222484,6.276722,1.000000,-0.000897
1779542749.307701,0,1,0.975533,0.222502,6.277297,1.000000,-0.000897
1779542749.317902,0,1,0.985533,0.222488,6.277436,1.000000,-0.000897
1779542749.327641,0,1,0.995532,0.222412,6.277059,1.000000,-0.001984
1779542749.337882,0,1,1.005532,0.222321,6.276753,1.000000,-0.001984
1779542749.347842,0,1,1.015531,0.222195,6.276213,1.000000,-0.001984
1779542749.357547,0,1,1.025530,0.222070,6.275843,1.000000,-0.003387
1779542749.367485,0,1,1.035529,0.221921,6.275276,1.000000,-0.003387
1779542749.378042,0,1,1.045528,0.221778,6.274895,1.000000,-0.003387
1779542749.388122,0,1,1.055527,0.221614,6.274322,1.000000,-0.003151
1779542749.397769,0,1,1.065526,0.221458,6.273938,1.000000,-0.003151
1779542749.407632,0,1,1.075524,0.221283,6.273363,1.000000,-0.003151
1779542749.418126,0,1,1.085523,0.221116,6.272978,1.000000,-0.002096
1779542749.427619,0,1,1.095521,0.220931,6.272403,1.000000,-0.002096
1779542749.437937,0,1,1.105519,0.220755,6.272018,1.000000,-0.002096
1779542749.448177,0,1,1.115518,0.220560,6.271442,1.000000,-0.002096
1779542749.457686,0,1,1.125516,0.220373,6.271057,1.000000,-0.002953
1779542749.467799,0,1,1.135514,0.220169,6.270481,1.000000,-0.002953
1779542749.477822,0,1,1.145512,0.219973,6.270096,1.000000,-0.001822
1779542749.487885,0,1,1.155509,0.219758,6.269520,1.000000,-0.001822
1779542749.498051,0,1,1.165507,0.219553,6.269135,1.000000,-0.001822
1779542749.507773,0,1,1.175505,0.219329,6.268559,1.000000,-0.001858
1779542749.518397,0,1,1.185502,0.219113,6.268174,1.000000,-0.001858
1779542749.527903,0,1,1.195500,0.218880,6.267598,1.000000,-0.001142
1779542749.537890,0,1,1.205497,0.218655,6.267213,1.000000,-0.001142
1779542749.547876,0,1,1.215494,0.218412,6.266637,1.000000,-0.001142
1779542749.558202,0,1,1.225491,0.218177,6.266252,1.000000,-0.000837
1779542749.567688,0,1,1.235488,0.217925,6.265676,1.000000,-0.000837
1779542749.578042,0,1,1.245485,0.217681,6.265291,1.000000,-0.000083
1779542749.587484,0,1,1.255482,0.217418,6.264715,1.000000,-0.000083
1779542749.597628,0,1,1.265479,0.217177,6.264453,1.000000,-0.000083
1779542749.607564,0,1,1.275477,0.216956,6.264354,1.000000,0.000070
1779542749.617926,0,1,1.285474,0.216749,6.264314,1.000000,0.000070
