time,x,y,yaw,v_actual,v_cmd,e_y,e_psi,control_e_y,control_e_psi,filtered_e_y,filtered_e_psi,curvature_ref,curvature_preview,delta_raw,delta_rate_limited,delta_feedback,delta_feedforward,delta_cmd,lqr_k_y,lqr_k_psi,closest_idx,segment_idx,segment_t,compute_time_ms
1779542583.024648,0.081061,0.221979,0.032977,0.000000,0.000000,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015406,0,-0.003793,-0.011613,-0.015406,0.603802,0.741741,0,0,0.000000,5.357511
1779542583.028665,0.081061,0.221979,0.032977,0.000000,0.004017,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611679,0.744359,0,0,0.000000,3.702578
1779542583.032667,0.081061,0.221979,0.032977,0.000000,0.008019,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611682,0.744360,0,0,0.000000,7.146512
1779542583.037786,0.081061,0.221979,0.032977,0.000000,0.013139,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611489,0.744297,0,0,0.000000,3.080707
1779542583.040885,0.081061,0.221979,0.032977,0.000000,0.016237,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015420,0,-0.003807,-0.011613,-0.015420,0.611838,0.744412,0,0,0.000000,6.441566
1779542583.044711,0.081061,0.221979,0.032977,0.000000,0.020063,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015419,0,-0.003807,-0.011613,-0.015419,0.611712,0.744370,0,0,0.000000,2.997985
1779542583.048784,0.081062,0.221979,0.032977,0.000038,0.024136,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611670,0.744356,0,0,0.000001,2.945734
1779542583.052648,0.081062,0.221979,0.032977,0.000038,0.028000,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015419,0,-0.003807,-0.011613,-0.015419,0.611706,0.744368,0,0,0.000001,2.923140
1779542583.057673,0.081065,0.221980,0.032977,0.000661,0.033025,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611506,0.744302,0,0,0.000015,3.091456
1779542583.060599,0.081065,0.221980,0.032977,0.000661,0.035952,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015420,0,-0.003807,-0.011613,-0.015420,0.611867,0.744421,0,0,0.000015,5.004583
1779542583.064645,0.081065,0.221980,0.032977,0.000661,0.039997,0.000000,0.005114,0.000000,0.005114,0.000000,0.005114,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611675,0.744358,0,0,0.000000,5.054959
1779542583.068632,0.081075,0.221980,0.032976,0.001402,0.043984,0.000000,0.005113,0.000000,0.005113,0.000000,0.005113,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611685,0.744361,0,0,0.000041,3.019666
1779542583.072600,0.081075,0.221980,0.032976,0.001402,0.047952,0.000000,0.005113,0.000000,0.005113,0.000000,0.005113,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611688,0.744362,0,0,0.000041,2.989925
1779542583.077709,0.081096,0.221981,0.032975,0.002667,0.053061,0.000000,0.005113,0.000000,0.005113,0.000000,0.005113,-0.035171,0.035171,-0.015418,0,-0.003805,-0.011613,-0.015418,0.611491,0.744297,0,0,0.000123,6.083964
1779542583.080608,0.081096,0.221981,0.032975,0.002667,0.055960,0.000000,0.005113,0.000000,0.005113,0.000000,0.005113,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611872,0.744423,0,0,0.000123,3.427433
1779542583.084679,0.081096,0.221981,0.032975,0.002667,0.060031,0.000000,0.005113,0.000000,0.005113,0.000000,0.005113,-0.035171,0.035171,-0.015419,0,-0.003806,-0.011613,-0.015419,0.611670,0.744356,0,0,0.000123,3.599532
1779542583.092615,0.081130,0.221982,0.032974,0.004110,0.067968,0.000000,0.005112,0.000000,0.005112,0.000000,0.005112,-0.035171,0.035171,-0.015417,0,-0.003804,-0.011613,-0.015417,0.611004,0.744137,0,0,0.000258,3.010881
