time,mode,obstacle_count,chosen_offset,speed_limit,min_obstacle_clearance,candidate_count,collision_free_count
1779542840.914086,pass_through,0,0.000,1.500,inf,1,1
1779542840.963728,pass_through,0,0.000,1.500,inf,1,1
1779542841.013848,pass_through,0,0.000,1.500,inf,1,1
1779542841.063776,pass_through,0,0.000,1.500,inf,1,1
1779542841.113798,pass_through,0,0.000,1.500,inf,1,1
1779542841.251697,pass_through,0,0.000,1.500,inf,1,1
1779542841.266203,pass_through,0,0.000,1.500,inf,1,1
1779542841.313738,pass_through,0,0.000,1.500,inf,1,1
1779542841.363775,pass_through,0,0.000,1.500,inf,1,1
1779542841.413724,pass_through,0,0.000,1.500,inf,1,1
1779542841.463806,pass_through,0,0.000,1.500,inf,1,1
1779542841.513778,pass_through,0,0.000,1.500,inf,1,1
1779542841.563726,pass_through,0,0.000,1.500,inf,1,1
1779542841.613770,pass_through,0,0.000,1.500,inf,1,1
1779542841.729185,pass_through,0,0.000,1.500,inf,1,1
1779542841.763770,pass_through,0,0.000,1.500,inf,1,1
1779542841.813777,pass_through,0,0.000,1.500,inf,1,1
1779542841.863778,pass_through,0,0.000,1.500,inf,1,1
1779542841.913703,pass_through,0,0.000,1.500,inf,1,1
1779542841.963768,pass_through,0,0.000,1.500,inf,1,1
1779542842.013747,pass_through,0,0.000,1.500,inf,1,1
1779542842.063778,pass_through,0,0.000,1.500,inf,1,1
1779542842.113708,pass_through,0,0.000,1.500,inf,1,1
1779542842.211018,pass_through,0,0.000,1.500,inf,1,1
1779542842.227640,pass_through,0,0.000,1.500,inf,1,1
1779542842.263813,pass_through,0,0.000,1.500,inf,1,1
1779542842.313741,pass_through,0,0.000,1.500,inf,1,1
1779542842.363780,pass_through,0,0.000,1.500,inf,1,1
1779542842.413736,pass_through,0,0.000,1.500,inf,1,1
1779542842.463713,pass_through,0,0.000,1.500,inf,1,1
1779542842.513666,pass_through,0,0.000,1.500,inf,1,1
1779542842.563697,pass_through,0,0.000,1.500,inf,1,1
1779542842.613681,pass_through,0,0.000,1.500,inf,1,1
1779542842.710863,pass_through,0,0.000,1.500,inf,1,1
1779542842.725881,pass_through,0,0.000,1.500,inf,1,1
1779542842.763808,pass_through,0,0.000,1.500,inf,1,1
1779542842.813797,pass_through,0,0.000,1.500,inf,1,1
1779542842.863707,pass_through,0,0.000,1.500,inf,1,1
1779542842.913750,pass_through,0,0.000,1.500,inf,1,1
1779542842.963736,pass_through,0,0.000,1.500,inf,1,1
1779542843.013785,pass_through,0,0.000,1.500,inf,1,1
1779542843.063772,pass_through,0,0.000,1.500,inf,1,1
1779542843.113766,pass_through,0,0.000,1.500,inf,1,1
1779542843.256800,pass_through,0,0.000,1.500,inf,1,1
1779542843.280044,pass_through,0,0.000,1.500,inf,1,1
1779542843.313735,pass_through,0,0.000,1.500,inf,1,1
1779542843.363721,pass_through,0,0.000,1.500,inf,1,1
1779542843.413806,pass_through,0,0.000,1.500,inf,1,1
1779542843.463684,pass_through,0,0.000,1.500,inf,1,1
1779542843.513705,pass_through,0,0.000,1.500,inf,1,1
1779542843.563712,pass_through,0,0.000,1.500,inf,1,1
1779542843.613669,pass_through,0,0.000,1.500,inf,1,1
1779542843.723176,pass_through,0,0.000,1.500,inf,1,1
1779542843.763777,pass_through,0,0.000,1.500,inf,1,1
1779542843.813710,pass_through,0,0.000,1.500,inf,1,1
1779542843.863783,pass_through,0,0.000,1.500,inf,1,1
1779542843.913777,pass_through,0,0.000,1.500,inf,1,1
1779542843.963930,pass_through,0,0.000,1.500,inf,1,1
1779542844.013679,pass_through,0,0.000,1.500,inf,1,1
1779542844.063780,pass_through,0,0.000,1.500,inf,1,1
1779542844.113783,pass_through,0,0.000,1.500,inf,1,1
1779542844.226283,pass_through,0,0.000,1.500,inf,1,1
1779542844.263772,pass_through,0,0.000,1.500,inf,1,1
1779542844.313728,pass_through,0,0.000,1.500,inf,1,1
1779542844.363749,pass_through,0,0.000,1.500,inf,1,1
1779542844.413770,pass_through,0,0.000,1.500,inf,1,1
1779542844.463739,pass_through,0,0.000,1.500,inf,1,1
1779542844.513797,pass_through,0,0.000,1.500,inf,1,1
1779542844.563852,pass_through,0,0.000,1.500,inf,1,1
1779542844.613718,pass_through,0,0.000,1.500,inf,1,1
1779542844.755819,pass_through,0,0.000,1.500,inf,1,1
1779542844.780600,pass_through,0,0.000,1.500,inf,1,1
1779542844.813761,pass_through,0,0.000,1.500,inf,1,1
1779542844.863811,pass_through,0,0.000,1.500,inf,1,1
1779542844.913759,pass_through,0,0.000,1.500,inf,1,1
1779542844.963763,pass_through,0,0.000,1.500,inf,1,1
1779542845.013711,pass_through,0,0.000,1.500,inf,1,1
1779542845.063745,pass_through,0,0.000,1.500,inf,1,1
1779542845.113761,pass_through,0,0.000,1.500,inf,1,1
1779542845.220514,pass_through,0,0.000,1.500,inf,1,1
1779542845.263779,pass_through,0,0.000,1.500,inf,1,1
1779542845.313806,pass_through,0,0.000,1.500,inf,1,1
1779542845.363746,pass_through,0,0.000,1.500,inf,1,1
1779542845.413773,pass_through,0,0.000,1.500,inf,1,1
1779542845.463789,pass_through,0,0.000,1.500,inf,1,1
1779542845.513740,pass_through,0,0.000,1.500,inf,1,1
1779542845.563761,pass_through,0,0.000,1.500,inf,1,1
1779542845.613771,pass_through,0,0.000,1.500,inf,1,1
1779542845.751015,pass_through,0,0.000,1.500,inf,1,1
1779542845.764440,pass_through,0,0.000,1.500,inf,1,1
1779542845.813764,pass_through,0,0.000,1.500,inf,1,1
1779542845.863725,pass_through,0,0.000,1.500,inf,1,1
1779542845.913724,pass_through,0,0.000,1.500,inf,1,1
1779542845.963788,pass_through,0,0.000,1.500,inf,1,1
1779542846.013769,pass_through,0,0.000,1.500,inf,1,1
1779542846.063894,pass_through,0,0.000,1.500,inf,1,1
1779542846.113737,pass_through,0,0.000,1.500,inf,1,1
1779542846.253558,pass_through,0,0.000,1.500,inf,1,1
1779542846.278437,pass_through,0,0.000,1.500,inf,1,1
1779542846.313761,pass_through,0,0.000,1.500,inf,1,1
1779542846.363698,pass_through,0,0.000,1.500,inf,1,1
1779542846.413695,pass_through,0,0.000,1.500,inf,1,1
1779542846.463782,pass_through,0,0.000,1.500,inf,1,1
1779542846.513763,pass_through,0,0.000,1.500,inf,1,1
1779542846.563758,pass_through,0,0.000,1.500,inf,1,1
1779542846.613740,pass_through,0,0.000,1.500,inf,1,1
1779542846.717886,pass_through,0,0.000,1.500,inf,1,1
1779542846.763764,pass_through,0,0.000,1.500,inf,1,1
1779542846.813756,pass_through,0,0.000,1.500,inf,1,1
1779542846.863918,pass_through,0,0.000,1.500,inf,1,1
1779542846.913735,pass_through,0,0.000,1.500,inf,1,1
1779542846.963706,pass_through,0,0.000,1.500,inf,1,1
1779542847.013734,pass_through,0,0.000,1.500,inf,1,1
1779542847.064314,pass_through,0,0.000,1.500,inf,1,1
1779542847.113725,pass_through,0,0.000,1.500,inf,1,1
1779542847.231601,pass_through,0,0.000,1.500,inf,1,1
1779542847.263799,pass_through,0,0.000,1.500,inf,1,1
1779542847.313689,pass_through,0,0.000,1.500,inf,1,1
1779542847.363747,pass_through,0,0.000,1.500,inf,1,1
1779542847.413768,pass_through,0,0.000,1.500,inf,1,1
1779542847.464163,pass_through,0,0.000,1.500,inf,1,1
1779542847.513749,pass_through,0,0.000,1.500,inf,1,1
1779542847.563744,pass_through,0,0.000,1.500,inf,1,1
1779542847.613661,pass_through,0,0.000,1.500,inf,1,1
1779542847.711076,pass_through,0,0.000,1.500,inf,1,1
1779542847.722564,pass_through,0,0.000,1.500,inf,1,1
1779542847.763724,pass_through,0,0.000,1.500,inf,1,1
1779542847.813689,pass_through,0,0.000,1.500,inf,1,1
1779542847.863730,pass_through,0,0.000,1.500,inf,1,1
1779542847.913671,pass_through,0,0.000,1.500,inf,1,1
1779542847.963784,pass_through,0,0.000,1.500,inf,1,1
1779542848.013688,pass_through,0,0.000,1.500,inf,1,1
1779542848.063807,pass_through,0,0.000,1.500,inf,1,1
1779542848.113685,pass_through,0,0.000,1.500,inf,1,1
1779542848.221905,pass_through,0,0.000,1.500,inf,1,1
1779542848.263787,pass_through,0,0.000,1.500,inf,1,1
1779542848.313737,pass_through,0,0.000,1.500,inf,1,1
1779542848.363771,pass_through,0,0.000,1.500,inf,1,1
1779542848.413693,pass_through,0,0.000,1.500,inf,1,1
1779542848.463797,pass_through,0,0.000,1.500,inf,1,1
1779542848.513720,pass_through,0,0.000,1.500,inf,1,1
1779542848.563681,pass_through,0,0.000,1.500,inf,1,1
1779542848.613749,pass_through,0,0.000,1.500,inf,1,1
1779542848.751799,pass_through,0,0.000,1.500,inf,1,1
1779542848.775707,pass_through,0,0.000,1.500,inf,1,1
1779542848.813777,pass_through,0,0.000,1.500,inf,1,1
1779542848.863765,pass_through,0,0.000,1.500,inf,1,1
1779542848.913778,pass_through,0,0.000,1.500,inf,1,1
1779542848.963733,pass_through,0,0.000,1.500,inf,1,1
1779542849.013723,pass_through,0,0.000,1.500,inf,1,1
1779542849.063806,pass_through,0,0.000,1.500,inf,1,1
1779542849.113705,pass_through,0,0.000,1.500,inf,1,1
1779542849.205101,pass_through,0,0.000,1.500,inf,1,1
1779542849.215384,pass_through,0,0.000,1.500,inf,1,1
1779542849.263821,pass_through,0,0.000,1.500,inf,1,1
1779542849.313760,pass_through,0,0.000,1.500,inf,1,1
1779542849.363699,pass_through,0,0.000,1.500,inf,1,1
1779542849.413769,pass_through,0,0.000,1.500,inf,1,1
1779542849.463744,pass_through,0,0.000,1.500,inf,1,1
1779542849.513764,pass_through,0,0.000,1.500,inf,1,1
1779542849.563762,pass_through,0,0.000,1.500,inf,1,1
1779542849.613780,pass_through,0,0.000,1.500,inf,1,1
1779542849.731943,pass_through,0,0.000,1.500,inf,1,1
1779542849.763729,pass_through,0,0.000,1.500,inf,1,1
1779542849.813772,pass_through,0,0.000,1.500,inf,1,1
1779542849.863792,pass_through,0,0.000,1.500,inf,1,1
1779542849.913767,pass_through,0,0.000,1.500,inf,1,1
1779542849.964608,pass_through,0,0.000,1.500,inf,1,1
1779542850.013711,pass_through,0,0.000,1.500,inf,1,1
1779542850.063694,pass_through,0,0.000,1.500,inf,1,1
1779542850.113690,pass_through,0,0.000,1.500,inf,1,1
1779542850.217845,pass_through,0,0.000,1.500,inf,1,1
1779542850.263792,pass_through,0,0.000,1.500,inf,1,1
1779542850.313697,pass_through,0,0.000,1.500,inf,1,1
1779542850.363760,pass_through,0,0.000,1.500,inf,1,1
1779542850.413717,pass_through,0,0.000,1.500,inf,1,1
1779542850.463759,pass_through,0,0.000,1.500,inf,1,1
1779542850.513757,pass_through,0,0.000,1.500,inf,1,1
1779542850.563811,pass_through,0,0.000,1.500,inf,1,1
1779542850.613766,pass_through,0,0.000,1.500,inf,1,1
1779542850.729284,pass_through,0,0.000,1.500,inf,1,1
1779542850.763749,pass_through,0,0.000,1.500,inf,1,1
1779542850.813734,pass_through,0,0.000,1.500,inf,1,1
1779542850.863752,pass_through,0,0.000,1.500,inf,1,1
1779542850.913738,pass_through,0,0.000,1.500,inf,1,1
1779542850.963690,pass_through,0,0.000,1.500,inf,1,1
1779542851.013717,pass_through,0,0.000,1.500,inf,1,1
1779542851.063781,pass_through,0,0.000,1.500,inf,1,1
1779542851.113735,pass_through,0,0.000,1.500,inf,1,1
1779542851.249112,pass_through,0,0.000,1.500,inf,1,1
1779542851.264264,pass_through,0,0.000,1.500,inf,1,1
1779542851.313724,pass_through,0,0.000,1.500,inf,1,1
1779542851.363704,pass_through,0,0.000,1.500,inf,1,1
1779542851.413750,pass_through,0,0.000,1.500,inf,1,1
1779542851.463753,pass_through,0,0.000,1.500,inf,1,1
1779542851.515281,pass_through,0,0.000,1.500,inf,1,1
1779542851.563768,pass_through,0,0.000,1.500,inf,1,1
1779542851.613799,pass_through,0,0.000,1.500,inf,1,1
1779542851.727049,pass_through,0,0.000,1.500,inf,1,1
1779542851.763805,pass_through,0,0.000,1.500,inf,1,1
1779542851.813781,pass_through,0,0.000,1.500,inf,1,1
1779542851.863717,pass_through,0,0.000,1.500,inf,1,1
1779542851.913800,pass_through,0,0.000,1.500,inf,1,1
1779542851.963771,pass_through,0,0.000,1.500,inf,1,1
1779542852.013742,pass_through,0,0.000,1.500,inf,1,1
1779542852.063704,pass_through,0,0.000,1.500,inf,1,1
1779542852.113780,pass_through,0,0.000,1.500,inf,1,1
1779542852.248303,pass_through,0,0.000,1.500,inf,1,1
1779542852.271706,pass_through,0,0.000,1.500,inf,1,1
1779542852.313688,pass_through,0,0.000,1.500,inf,1,1
1779542852.363751,pass_through,0,0.000,1.500,inf,1,1
1779542852.413756,pass_through,0,0.000,1.500,inf,1,1
1779542852.463801,pass_through,0,0.000,1.500,inf,1,1
1779542852.513677,pass_through,0,0.000,1.500,inf,1,1
1779542852.563771,pass_through,0,0.000,1.500,inf,1,1
1779542852.613696,pass_through,0,0.000,1.500,inf,1,1
1779542852.725982,pass_through,0,0.000,1.500,inf,1,1
1779542852.763777,pass_through,0,0.000,1.500,inf,1,1
1779542852.813735,pass_through,0,0.000,1.500,inf,1,1
1779542852.863946,pass_through,0,0.000,1.500,inf,1,1
1779542852.913771,pass_through,0,0.000,1.500,inf,1,1
1779542852.963781,pass_through,0,0.000,1.500,inf,1,1
1779542853.013693,pass_through,0,0.000,1.500,inf,1,1
1779542853.063787,pass_through,0,0.000,1.500,inf,1,1
1779542853.113736,pass_through,0,0.000,1.500,inf,1,1
1779542853.217336,pass_through,0,0.000,1.500,inf,1,1
1779542853.265682,pass_through,0,0.000,1.500,inf,1,1
1779542853.313761,pass_through,0,0.000,1.500,inf,1,1
