time,ego_collision,done,x,y,theta,requested_speed,steering_angle
1779543298.800598,0,1,-0.218202,0.337351,6.278939,1.000000,-0.004978
1779543298.810444,0,1,-0.208203,0.337226,6.278364,1.000000,-0.004181
1779543298.821158,0,1,-0.198204,0.337109,6.277979,1.000000,-0.004181
1779543298.830625,0,1,-0.188205,0.336974,6.277404,1.000000,-0.004181
1779543298.840585,0,1,-0.178205,0.336847,6.277019,1.000000,-0.003506
1779543298.850695,0,1,-0.168206,0.336702,6.276443,1.000000,-0.003506
1779543298.860756,0,1,-0.158207,0.336566,6.276058,1.000000,-0.003506
1779543298.870548,0,1,-0.148209,0.336411,6.275482,1.000000,-0.002585
1779543298.880755,0,1,-0.138210,0.336265,6.275097,1.000000,-0.002585
1779543298.890777,0,1,-0.128211,0.336101,6.274521,1.000000,-0.002585
1779543298.900901,0,1,-0.118212,0.335945,6.274136,1.000000,-0.002585
1779543298.910687,0,1,-0.108214,0.335771,6.273561,1.000000,-0.002875
1779543298.920728,0,1,-0.098215,0.335606,6.273175,1.000000,-0.002875
1779543298.930401,0,1,-0.088217,0.335423,6.272600,1.000000,-0.002875
1779543298.940669,0,1,-0.078218,0.335248,6.272214,1.000000,-0.002591
1779543298.950736,0,1,-0.068220,0.335055,6.271639,1.000000,-0.002591
1779543298.960677,0,1,-0.058222,0.334870,6.271253,1.000000,-0.002591
1779543298.970790,0,1,-0.048224,0.334667,6.270678,1.000000,-0.002325
1779543298.980870,0,1,-0.038226,0.334473,6.270292,1.000000,-0.002325
1779543298.990411,0,1,-0.028228,0.334261,6.269717,1.000000,-0.002325
1779543299.000703,0,1,-0.018230,0.334057,6.269331,1.000000,-0.001174
1779543299.010684,0,1,-0.008233,0.333835,6.268756,1.000000,-0.001174
1779543299.020871,0,1,0.001765,0.333622,6.268370,1.000000,-0.001174
1779543299.030410,0,1,0.011762,0.333390,6.267795,1.000000,-0.001174
1779543299.040703,0,1,0.021760,0.333168,6.267409,1.000000,-0.000540
1779543299.050429,0,1,0.031757,0.332926,6.266834,1.000000,-0.000540
1779543299.060947,0,1,0.041754,0.332694,6.266448,1.000000,-0.000540
1779543299.070609,0,1,0.051751,0.332443,6.265873,1.000000,-0.000365
1779543299.080668,0,1,0.061748,0.332201,6.265487,1.000000,-0.000365
1779543299.090593,0,1,0.071745,0.331941,6.264912,1.000000,-0.000365
1779543299.100874,0,1,0.081742,0.331689,6.264526,1.000000,0.000838
1779543299.110541,0,1,0.091738,0.331419,6.263951,1.000000,0.000838
1779543299.120759,0,1,0.101735,0.331181,6.263811,1.000000,0.000838
1779543299.130452,0,1,0.111733,0.331005,6.264188,1.000000,0.000838
1779543299.140697,0,1,0.121732,0.330845,6.264493,1.000000,0.001211
1779543299.150482,0,1,0.131731,0.330719,6.265034,1.000000,0.001211
1779543299.160514,0,1,0.141731,0.330593,6.265403,1.000000,0.001211
1779543299.170245,0,1,0.151730,0.330491,6.265970,1.000000,0.001726
1779543299.180758,0,1,0.161729,0.330383,6.266351,1.000000,0.001726
1779543299.190327,0,1,0.171729,0.330296,6.266925,1.000000,0.001726
1779543299.200753,0,1,0.181729,0.330200,6.267309,1.000000,0.001201
1779543299.210619,0,1,0.191728,0.330124,6.267883,1.000000,0.001201
1779543299.220836,0,1,0.201728,0.330039,6.268268,1.000000,0.001201
1779543299.230738,0,1,0.211728,0.329973,6.268844,1.000000,-0.000984
1779543299.240639,0,1,0.221727,0.329899,6.269229,1.000000,-0.000984
1779543299.250676,0,1,0.231727,0.329843,6.269804,1.000000,-0.000984
1779543299.260822,0,1,0.241727,0.329754,6.269944,1.000000,-0.002341
1779543299.270663,0,1,0.251726,0.329604,6.269567,1.000000,-0.002341
1779543299.280555,0,1,0.261724,0.329437,6.269261,1.000000,-0.002341
1779543299.290666,0,1,0.271722,0.329237,6.268721,1.000000,-0.003616
