time,mode,obstacle_count,chosen_offset,speed_limit,min_obstacle_clearance,candidate_count,collision_free_count
1779543133.432413,pass_through,0,0.000,1.000,inf,1,1
1779543133.479530,pass_through,0,0.000,1.000,inf,1,1
1779543133.534546,pass_through,0,0.000,1.000,inf,1,1
1779543133.578077,pass_through,0,0.000,1.000,inf,1,1
1779543133.628479,pass_through,0,0.000,1.000,inf,1,1
1779543133.678228,pass_through,0,0.000,1.000,inf,1,1
1779543133.816285,pass_through,0,0.000,1.000,inf,1,1
1779543133.838820,pass_through,0,0.000,1.000,inf,1,1
1779543133.878106,pass_through,0,0.000,1.000,inf,1,1
1779543133.928151,pass_through,0,0.000,1.000,inf,1,1
1779543133.978170,pass_through,0,0.000,1.000,inf,1,1
1779543134.028182,pass_through,0,0.000,1.000,inf,1,1
1779543134.078129,pass_through,0,0.000,1.000,inf,1,1
1779543134.128232,pass_through,0,0.000,1.000,inf,1,1
1779543134.178142,pass_through,0,0.000,1.000,inf,1,1
1779543134.285522,pass_through,0,0.000,1.000,inf,1,1
1779543134.328358,pass_through,0,0.000,1.000,inf,1,1
1779543134.378293,pass_through,0,0.000,1.000,inf,1,1
1779543134.428321,pass_through,0,0.000,1.000,inf,1,1
1779543134.478183,pass_through,0,0.000,1.000,inf,1,1
1779543134.528185,pass_through,0,0.000,1.000,inf,1,1
1779543134.578083,pass_through,0,0.000,1.000,inf,1,1
1779543134.628477,pass_through,0,0.000,1.000,inf,1,1
1779543134.678118,pass_through,0,0.000,1.000,inf,1,1
1779543134.784589,pass_through,0,0.000,1.000,inf,1,1
1779543134.828165,pass_through,0,0.000,1.000,inf,1,1
1779543134.878172,pass_through,0,0.000,1.000,inf,1,1
1779543134.928104,pass_through,0,0.000,1.000,inf,1,1
1779543134.978125,pass_through,0,0.000,1.000,inf,1,1
1779543135.028156,pass_through,0,0.000,1.000,inf,1,1
1779543135.078161,pass_through,0,0.000,1.000,inf,1,1
1779543135.128498,pass_through,0,0.000,1.000,inf,1,1
1779543135.178243,pass_through,0,0.000,1.000,inf,1,1
1779543135.321035,pass_through,0,0.000,1.000,inf,1,1
1779543135.347197,pass_through,0,0.000,1.000,inf,1,1
1779543135.378194,pass_through,0,0.000,1.000,inf,1,1
1779543135.428572,pass_through,0,0.000,1.000,inf,1,1
1779543135.478168,pass_through,0,0.000,1.000,inf,1,1
1779543135.528131,pass_through,0,0.000,1.000,inf,1,1
1779543135.578220,pass_through,0,0.000,1.000,inf,1,1
1779543135.628432,pass_through,0,0.000,1.000,inf,1,1
1779543135.678132,pass_through,0,0.000,1.000,inf,1,1
1779543135.788678,pass_through,0,0.000,1.000,inf,1,1
1779543135.828202,pass_through,0,0.000,1.000,inf,1,1
1779543135.878117,pass_through,0,0.000,1.000,inf,1,1
1779543135.928206,pass_through,0,0.000,1.000,inf,1,1
1779543135.978120,pass_through,0,0.000,1.000,inf,1,1
1779543136.028100,pass_through,0,0.000,1.000,inf,1,1
1779543136.078132,pass_through,0,0.000,1.000,inf,1,1
1779543136.128133,pass_through,0,0.000,1.000,inf,1,1
1779543136.178113,pass_through,0,0.000,1.000,inf,1,1
1779543136.289501,pass_through,0,0.000,1.000,inf,1,1
1779543136.328329,pass_through,0,0.000,1.000,inf,1,1
1779543136.378118,pass_through,0,0.000,1.000,inf,1,1
1779543136.428497,pass_through,0,0.000,1.000,inf,1,1
1779543136.478157,pass_through,0,0.000,1.000,inf,1,1
1779543136.528350,pass_through,0,0.000,1.000,inf,1,1
1779543136.578121,pass_through,0,0.000,1.000,inf,1,1
1779543136.628207,pass_through,0,0.000,1.000,inf,1,1
1779543136.678176,pass_through,0,0.000,1.000,inf,1,1
1779543136.809096,pass_through,0,0.000,1.000,inf,1,1
1779543136.833636,pass_through,0,0.000,1.000,inf,1,1
1779543136.878162,pass_through,0,0.000,1.000,inf,1,1
1779543136.928178,pass_through,0,0.000,1.000,inf,1,1
1779543136.978940,pass_through,0,0.000,1.000,inf,1,1
1779543137.028163,pass_through,0,0.000,1.000,inf,1,1
1779543137.078130,pass_through,0,0.000,1.000,inf,1,1
1779543137.128150,pass_through,0,0.000,1.000,inf,1,1
1779543137.178142,pass_through,0,0.000,1.000,inf,1,1
1779543137.282440,pass_through,0,0.000,1.000,inf,1,1
1779543137.328068,pass_through,0,0.000,1.000,inf,1,1
1779543137.378144,pass_through,0,0.000,1.000,inf,1,1
1779543137.428280,pass_through,0,0.000,1.000,inf,1,1
1779543137.478151,pass_through,0,0.000,1.000,inf,1,1
1779543137.528165,pass_through,0,0.000,1.000,inf,1,1
1779543137.578166,pass_through,0,0.000,1.000,inf,1,1
1779543137.628202,pass_through,0,0.000,1.000,inf,1,1
1779543137.678184,pass_through,0,0.000,1.000,inf,1,1
1779543137.782423,pass_through,0,0.000,1.000,inf,1,1
1779543137.828156,pass_through,0,0.000,1.000,inf,1,1
1779543137.878220,pass_through,0,0.000,1.000,inf,1,1
1779543137.928240,pass_through,0,0.000,1.000,inf,1,1
1779543137.978145,pass_through,0,0.000,1.000,inf,1,1
1779543138.028359,pass_through,0,0.000,1.000,inf,1,1
1779543138.078082,pass_through,0,0.000,1.000,inf,1,1
1779543138.128065,pass_through,0,0.000,1.000,inf,1,1
1779543138.178129,pass_through,0,0.000,1.000,inf,1,1
1779543138.339505,pass_through,0,0.000,1.000,inf,1,1
1779543138.378069,pass_through,0,0.000,1.000,inf,1,1
1779543138.428166,pass_through,0,0.000,1.000,inf,1,1
1779543138.478140,pass_through,0,0.000,1.000,inf,1,1
1779543138.528047,pass_through,0,0.000,1.000,inf,1,1
1779543138.578187,pass_through,0,0.000,1.000,inf,1,1
1779543138.628240,pass_through,0,0.000,1.000,inf,1,1
1779543138.678165,pass_through,0,0.000,1.000,inf,1,1
1779543138.821031,pass_through,0,0.000,1.000,inf,1,1
1779543138.846767,pass_through,0,0.000,1.000,inf,1,1
1779543138.878067,pass_through,0,0.000,1.000,inf,1,1
1779543138.928106,pass_through,0,0.000,1.000,inf,1,1
1779543138.978174,pass_through,0,0.000,1.000,inf,1,1
1779543139.028115,pass_through,0,0.000,1.000,inf,1,1
1779543139.078187,pass_through,0,0.000,1.000,inf,1,1
1779543139.128437,pass_through,0,0.000,1.000,inf,1,1
1779543139.178123,pass_through,0,0.000,1.000,inf,1,1
