time,x,y,yaw,v_actual,v_cmd,e_y,e_psi,control_e_y,control_e_psi,filtered_e_y,filtered_e_psi,curvature_ref,curvature_preview,delta_raw,delta_rate_limited,delta_feedback,delta_feedforward,delta_cmd,lqr_k_y,lqr_k_psi,closest_idx,segment_idx,segment_t,compute_time_ms
1779543133.443600,0.092886,0.233265,0.028795,0.000000,0.000000,-0.000000,0.004502,-0.000000,0.004502,-0.000000,0.004502,-0.034492,0.034492,-0.014728,0,-0.003339,-0.011389,-0.014728,0.603802,0.741741,0,0,0.000000,5.376041
1779543133.447615,0.092886,0.233265,0.028795,0.000000,0.004015,-0.000000,0.004502,-0.000000,0.004502,-0.000000,0.004502,-0.034492,0.034492,-0.014740,0,-0.003351,-0.011389,-0.014740,0.611680,0.744360,0,0,0.000000,3.536696
1779543133.451643,0.092886,0.233265,0.028795,0.000000,0.008043,-0.000000,0.004502,-0.000000,0.004502,-0.000000,0.004502,-0.034492,0.034492,-0.014740,0,-0.003351,-0.011389,-0.014740,0.611678,0.744359,0,0,0.000000,3.141847
1779543133.455621,0.092886,0.233265,0.028795,0.000000,0.012022,-0.000000,0.004502,-0.000000,0.004502,-0.000000,0.004502,-0.034492,0.034492,-0.014740,0,-0.003351,-0.011389,-0.014740,0.611686,0.744362,0,0,0.000000,3.104993
1779543133.460889,0.092886,0.233265,0.028795,0.000000,0.017289,-0.000000,0.004502,-0.000000,0.004502,-0.000000,0.004502,-0.034492,0.034492,-0.014739,0,-0.003351,-0.011389,-0.014739,0.611464,0.744288,0,0,0.000000,4.022367
1779543133.463603,0.092886,0.233265,0.028795,0.000000,0.020003,-0.000000,0.004502,-0.000000,0.004502,-0.000000,0.004502,-0.034492,0.034492,-0.014740,0,-0.003351,-0.011389,-0.014740,0.611904,0.744434,0,0,0.000000,2.868142
1779543133.468151,0.092886,0.233265,0.028795,0.000000,0.024551,-0.000000,0.004502,-0.000000,0.004502,-0.000000,0.004502,-0.034492,0.034492,-0.014740,0,-0.003351,-0.011389,-0.014740,0.611588,0.744329,0,0,0.000000,4.013597
1779543133.471574,0.092887,0.233265,0.028795,0.000114,0.027974,0.000000,0.004502,0.000000,0.004502,0.000000,0.004502,-0.034492,0.034492,-0.014740,0,-0.003351,-0.011389,-0.014740,0.611782,0.744393,0,0,0.000002,3.206322
1779543133.475626,0.092887,0.233265,0.028795,0.000114,0.032027,0.000000,0.004502,0.000000,0.004502,0.000000,0.004502,-0.034492,0.034492,-0.014740,0,-0.003351,-0.011389,-0.014740,0.611673,0.744357,0,0,0.000002,2.855676
1779543133.482255,0.092892,0.233265,0.028795,0.000931,0.038655,0.000000,0.004501,0.000000,0.004501,0.000000,0.004501,-0.034492,0.034492,-0.014739,0,-0.003350,-0.011389,-0.014739,0.611229,0.744211,0,0,0.000023,2.838289
1779543133.483546,0.092892,0.233265,0.028795,0.000931,0.039947,0.000000,0.004501,0.000000,0.004501,0.000000,0.004501,-0.034492,0.034492,-0.014740,0,-0.003351,-0.011389,-0.014740,0.612149,0.744514,0,0,0.000023,3.560837
1779543133.487554,0.092892,0.233265,0.028795,0.000931,0.043954,0.000000,0.004501,0.000000,0.004501,0.000000,0.004501,-0.034492,0.034492,-0.014740,0,-0.003351,-0.011389,-0.014740,0.611681,0.744360,0,0,0.000023,3.054250
1779543133.491556,0.092908,0.233266,0.028794,0.002217,0.047956,0.000000,0.004501,0.000000,0.004501,0.000000,0.004501,-0.034492,0.034492,-0.014739,0,-0.003350,-0.011389,-0.014739,0.611682,0.744360,0,0,0.000086,3.330907
1779543133.495547,0.092908,0.233266,0.028794,0.002217,0.051947,0.000000,0.004501,0.000000,0.004501,0.000000,0.004501,-0.034492,0.034492,-0.014739,0,-0.003350,-0.011389,-0.014739,0.611684,0.744361,0,0,0.000086,3.172826
